device_name;session_uid;url_publisher
RV-CSA-RED;RV-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CSA-SAI;RV-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CSB-ITS1;RV-CSB-ITS1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CSB-ITS2;RV-CSB-ITS2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CSV;RV-CSV;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CSV-CA;RV-CSV-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CSV-MA;RV-CSV-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CGBT;RV-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CSV-1;MM-CSV-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CSV-2;MM-CSV-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CS-ITS1;LQ-CS-ITS1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CSA-SAI;LQ-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CSA-RED;LQ-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CSV-TSM;LQ-CSV-TSM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CSV-TSC;LQ-CSV-TSC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-CSA-RED;STMI-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-CSA-SAI;STMI-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-CS-ITS;STMI-CS-ITS;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-INSTAL-FV;STMI-INSTAL-FV;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CSA-SAI;MM-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CSA;LQ-CSA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CSA-RED;MM-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CS-ITS1;MM-CS-ITS1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CS-ITS2;MM-CS-ITS2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CSV-CA;STM2-CSV-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CSV-MA;STM2-CSV-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-CSA;STMI-CSA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CSA-SAI;CH-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CSA-RED;CH-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CGBT;CH-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CSB-ITS1;CH-CSB-ITS1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CSB-ITS2;CH-CSB-ITS2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CSV-TSM;CH-CSV-TSM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CSV-TSC;CH-CSV-TSC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSV-A;CAS-CSV-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSV-B;CAS-CSV-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CSV;COR-CSV;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSA-SAI-A;CAS-CSA-SAI-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSA-SAI-B;CAS-CSA-SAI-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSA-RED-A;CAS-CSA-RED-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSA-RED-B;CAS-CSA-RED-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSB-ITS1-A;CAS-CSB-ITS1-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSB-ITS1-B;CAS-CSB-ITS1-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSG-A;CAS-CSG-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSG-B;CAS-CSG-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
