device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_state(i)
RV-VC-2CA;RV-VC-2CA;RV-PLCE-1CA;192.168.11.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
RV-VM-2CA;RV-VM-2CA;RV-PLCE-1CA;192.168.11.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
RV-VC-1MA;RV-VC-1MA;RV-PLCE-1CA;192.168.11.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
RV-VM-1MA;RV-VM-1MA;RV-PLCE-1CA;192.168.11.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;9
RV-VC-2MA;RV-VC-2MA;RV-PLCL-1;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16
RV-VM-1CA;RV-VM-1CA;RV-PLCL-1;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;17
RV-VC-1CA;RV-VC-1CA;RV-PLCL-1;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;18
RV-VM-2MA;RV-VM-2MA;RV-PLCL-1;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;19
MM-VC-1MA;MM-VC-1MA;MM-PLCE-CA;192.168.12.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16
MM-VM-1MA;MM-VM-1MA;MM-PLCE-CA;192.168.12.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;17
MM-VC-2CA;MM-VC-2CA;MM-PLCE-CA;192.168.12.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;18
MM-VM-4CA;MM-VM-4CA;MM-PLCE-CA;192.168.12.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;19
MM-VC-2MA;MM-VC-2MA;MM-PLCL-1;192.168.12.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
MM-VC-1CA;MM-VC-1CA;MM-PLCL-1;192.168.12.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
MM-VM-1CA;MM-VM-1CA;MM-PLCL-1;192.168.12.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;9
MM-VM-4MA;MM-VM-4MA;MM-PLCL-1;192.168.12.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
MM-VM-2CA;MM-VM-2CA;MM-PLCSI-2CA;192.168.12.30;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
MM-VM-3CA;MM-VM-3CA;MM-PLCSI-2CA;192.168.12.30;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
MM-VM-2MA;MM-VM-2MA;MM-PLCSI-2MA;192.168.12.44;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
MM-VM-3MA;MM-VM-3MA;MM-PLCSI-2MA;192.168.12.44;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
RV-VC-DALJ;RV-VC-DALJ;RV-PLCL-1;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;27
CAS-VC-1CA;CAS-VC-1CA;CAS-PLCL-BM;192.168.5.186;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;10
CAS-VM-1CA;CAS-VM-1CA;CAS-SOS-C1;192.168.5.159;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CAS-VM-2CA;CAS-VM-2CA;CAS-SOS-C2;192.168.5.164;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CAS-VM-3CA;CAS-VM-3CA;CAS-SOS-C2;192.168.5.164;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CAS-VM-4CA;CAS-VM-4CA;CAS-SOS-C4;192.168.5.174;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CAS-VM-5CA;CAS-VM-5CA;CAS-SOS-C4;192.168.5.174;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CAS-VM-6CA;CAS-VM-6CA;CAS-SOS-C5;192.168.5.180;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CAS-VC-2CA;CAS-VC-2CA;CAS-PLCL-BC;192.168.5.130;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;9
CAS-VC-1MA;CAS-VC-1MA;CAS-PLCL-BC;192.168.5.130;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
CAS-VM-2MA;CAS-VM-2MA;CAS-SOS-M1;192.168.5.202;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CAS-VM-3MA;CAS-VM-3MA;CAS-SOS-M2;192.168.5.207;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CAS-VM-4MA;CAS-VM-4MA;CAS-SOS-M2;192.168.5.207;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CAS-VM-5MA;CAS-VM-5MA;CAS-SOS-M4;192.168.5.217;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CAS-VM-6MA;CAS-VM-6MA;CAS-SOS-M4;192.168.5.217;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CAS-VC-2MA;CAS-VC-2MA;CAS-PLCL-BM;192.168.5.186;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
CAS-VC-DALJ;CAS-VC-DALJ;CAS-PLCL-BC;192.168.5.130;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;61
CH-VC-1CA;CH-VC-1CA;CH-PLCE-1MA;192.168.9.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CH-VM-1CA;CH-VM-1CA;CH-PLCE-1MA;192.168.9.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
CH-VM-2CA;CH-VM-2CA;CH-PLCSI-2CA;192.168.9.49;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CH-VM-3CA;CH-VM-3CA;CH-PLCSI-2CA;192.168.9.49;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CH-VM-4CA;CH-VM-4CA;CH-PLCE-1CA;192.168.9.39;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;9
CH-VC-2CA;CH-VC-2CA;CH-PLCE-1CA;192.168.9.39;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
CH-VC-1MA;CH-VC-1MA;CH-PLCE-1CA;192.168.9.39;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CH-VM-1MA;CH-VM-1MA;CH-PLCE-1CA;192.168.9.39;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
CH-VM-2MA;CH-VM-2MA;CH-PLCSI-2MA;192.168.9.32;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CH-VM-3MA;CH-VM-3MA;CH-PLCSI-2MA;192.168.9.32;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
CH-VM-4MA;CH-VM-4MA;CH-PLCSI-3MA;192.168.9.35;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
CH-VC-2MA;CH-VC-2MA;CH-PLCE-1MA;192.168.9.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
CH-VC-DALJ;CH-VC-DALJ;CH-PLCL-1;192.168.9.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;39
STM2-VM-1CA;STM2-VM-1CA;STM2-PLCSI-1CA;192.168.10.32;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
STM2-VM-2CA;STM2-VM-2CA;STM2-PLCSI-2CA;192.168.10.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
STM2-VM-3CA;STM2-VM-3CA;STM2-PLCSI-2CA;192.168.10.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
STM2-VM-4CA;STM2-VM-4CA;STM2-PLCSI-3CA;192.168.10.42;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
STM2-VC-1CA;STM2-VC-1CA;STM2-PLCL-BM;192.168.10.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
STM2-VC-2CA;STM2-VC-2CA;STM2-PLCL-BC;192.168.10.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;10
STM2-VC-1MA;STM2-VC-1MA;STM2-PLCL-BC;192.168.10.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;9
STM2-VC-2MA;STM2-VC-2MA;STM2-PLCL-BM;192.168.10.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
STM2-VM-1MA;STM2-VM-1MA;STM2-PLCSI-1MA;192.168.10.57;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
STM2-VM-2MA;STM2-VM-2MA;STM2-PLCSI-2MA;192.168.10.62;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
STM2-VM-3MA;STM2-VM-3MA;STM2-PLCSI-2MA;192.168.10.62;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
STM2-VM-4MA;STM2-VM-4MA;STM2-PLCSI-3MA;192.168.10.67;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
COR-VC-DALJ;COR-VC-DALJ;COR-PLCL-BC;192.168.15.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;9
LQ-VM-6MA;LQ-VM-6MA;LQ-PLC-1CA;192.168.14.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
LQ-VM-4MA;LQ-VM-4MA;LQ-PLCSI-3MA;192.168.14.35;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
LQ-VC-3MA;LQ-VC-3MA;LQ-PLC-1CA;192.168.14.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
LQ-VC-1MA;LQ-VC-1MA;LQ-PLC-1MA;192.168.14.42;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
LQ-VM-1MA;LQ-VM-1MA;LQ-PLCSI-1MA;192.168.14.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-2MA;LQ-VM-2MA;LQ-PLCSI-2MA;192.168.14.32;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-3MA;LQ-VM-3MA;LQ-PLCSI-3MA;192.168.14.35;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-5MA;LQ-VM-5MA;LQ-PLCSI-4MA;192.168.14.38;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VC-1CA;LQ-VC-1CA;LQ-PLCSI-1CA;192.168.14.49;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
LQ-VM-1CA;LQ-VM-1CA;LQ-PLCSI-1CA;192.168.14.49;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-2CA;LQ-VM-2CA;LQ-PLCSI-2CA;192.168.14.53;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-3CA;LQ-VM-3CA;LQ-PLCSI-3CA;192.168.14.56;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-4CA;LQ-VM-4CA;LQ-PLCSI-3CA;192.168.14.56;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
LQ-VM-5CA;LQ-VM-5CA;LQ-PLCSI-4CA;192.168.14.59;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-6CA;LQ-VM-6CA;LQ-PLCSI-5CA;192.168.14.62;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
LQ-VM-7CA;LQ-VM-7CA;LQ-PLCSI-5CA;192.168.14.62;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
LQ-VC-2MA;LQ-VC-2MA;LQ-PLCL-1;192.168.14.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;58
LQ-VC-DALJ;LQ-VC-DALJ;LQ-PLCL-1;192.168.14.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;59
NG-VC-1MA;NG-VC-1MA;NG-PLC-CT-ITS-BC;192.168.17.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;33
