PLC_name;PLC_host;PLC_port(i);device_name;canton;CT;offset_regimen1(i);offset_regimen2(i);offset_regimen3(i);offset_regimen4(i);offset_regimen5(i)
CT02_PLC_H;10.133.50.37;28058;Canton1;CANTON1;CT02;5125;5129;5133;5137;5141
CT03_PLC_H;10.133.50.37;28059;Canton2;CANTON2;CT03;5125;5129;5133;5137;5141
CT04_PLC_H;10.133.50.37;28060;Canton3-12;CANTON3;CT04;5125;5129;5133;5137;5141
CT04_PLC_H;10.133.50.37;28060;Canton3-12;CANTON12;CT04;5165;5169;5173;5177;5181
CT05_PLC_H;10.133.50.37;28061;Canton4-11;CANTON4;CT05;5125;5129;5133;5137;5141
CT05_PLC_H;10.133.50.37;28061;Canton4-11;CANTON11;CT05;5145;5149;5153;5157;5161
CT06_PLC_H;10.133.50.37;28062;Canton5-9-10;CANTON5;CT06;5125;5129;5133;5137;5141
CT06_PLC_H;10.133.50.37;28062;Canton5-9-10;CANTON9;CT06;5145;5149;5153;5157;5161
CT06_PLC_H;10.133.50.37;28062;Canton5-9-10;CANTON10;CT06;5165;5169;5173;5177;5181
CT07_PLC_H;10.133.50.37;28063;Canton6;CANTON6;CT07;5125;5129;5133;5137;5141
CT08_PLC_H;10.133.50.37;28064;Canton7-8;CANTON7;CT08;5125;5129;5133;5137;5141
CT08_PLC_H;10.133.50.37;28064;Canton7-8;CANTON8;CT08;5145;5149;5153;5157;5161
