PLC_name;PLC_host;PLC_port(i);device_name;offset_Deshabilitar(i);offset_Habilitar_forzado_CO(i);offset_Habilitar_forzado_NO2(i);offset_Habilitar_forzado_opacidad(i);offset_Habilitar_forzado_temp(i);offset_Valor_forzado_CO(i);offset_Valor_forzado_niv_temp(i);offset_Valor_forzado_NO2(i);offset_Valor_forzado_opacidad(i)
CT02_PLC_G;10.133.50.37;28014;SCNO-SAM-001;15011;15018;15015;15012;15021;15019;15022;15016;15013
CT02_PLC_G;10.133.50.37;28014;SCNO-SAM-002;15051;15058;15055;15052;15061;15059;15062;15056;15053
CT02_PLC_G;10.133.50.37;28014;S1TS-SAM-001;15091;15098;15095;15092;15101;15099;15102;15096;15093
CT02_PLC_G;10.133.50.37;28014;S1TS-SAM-002;15131;15138;15135;15132;15141;15139;15142;15136;15133
CT03_PLC_G;10.133.50.37;28021;S1TS-SAM-003;15011;15018;15015;15012;15021;15019;15022;15016;15013
CT03_PLC_G;10.133.50.37;28021;S1TS-SAM-004;15051;15058;15055;15052;15061;15059;15062;15056;15053
CT04_PLC_G;10.133.50.37;28028;S1TS-SAM-005;15011;15018;15015;15012;15021;15019;15022;15016;15013
CT04_PLC_G;10.133.50.37;28028;S2TN-SAM-001;15051;15058;15055;15052;15061;15059;15062;15056;15053
CT04_PLC_G;10.133.50.37;28028;S2TN-SAM-002;15091;15098;15095;15092;15101;15099;15102;15096;15093
CT05_PLC_G;10.133.50.37;28035;S2TS-SAM-001;15011;15018;15015;15012;15021;15019;15022;15016;15013
CT05_PLC_G;10.133.50.37;28035;S2TS-SAM-002;15051;15058;15055;15052;15061;15059;15062;15056;15053
CT05_PLC_G;10.133.50.37;28035;S2TN-SAM-003;15091;15098;15095;15092;15101;15099;15102;15096;15093
CT05_PLC_G;10.133.50.37;28035;S2TS-SAM-004;15131;15138;15135;15132;15141;15139;15142;15136;15133
CT05_PLC_G;10.133.50.37;28035;S2TN-SAM-005;15171;15178;15175;15172;15181;15179;15182;15175;15173
CT06_PLC_G;10.133.50.37;28042;S2TN-SAM-006;15011;15018;15015;15012;15021;15019;15022;15016;15013
CT06_PLC_G;10.133.50.37;28042;S2TS-SAM-005;15051;15058;15055;15052;15061;15059;15062;15056;15053
CT06_PLC_G;10.133.50.37;28042;S2TN-SAM-007;15091;15098;15095;15092;15101;15099;15102;15096;15093
CT06_PLC_G;10.133.50.37;28042;S2TS-SAM-006;15131;15138;15135;15132;15141;15139;15142;15136;15133
CT07_PLC_G;10.133.50.37;28049;S2TS-SAM-007;15011;15018;15015;15012;15021;15019;15022;15016;15013
CT07_PLC_G;10.133.50.37;28049;S2TN-SAM-008;15051;15058;15055;15052;15061;15059;15062;15056;15053
CT08_PLC_G;10.133.50.37;28056;S2TS-SAM-008;15011;15018;15015;15012;15021;15019;15022;15016;15013
CT08_PLC_G;10.133.50.37;28056;S2TN-SAM-009;15051;15058;15055;15052;15061;15059;15062;15056;15053
CT08_PLC_G;10.133.50.37;28056;S2TS-SAM-009;15091;15098;15095;15092;15101;15099;15102;15096;15093
CT08_PLC_G;10.133.50.37;28056;S2TN-SAM-010;15131;15138;15135;15132;15141;15139;15142;15136;15133
CT08_PLC_G;10.133.50.37;28056;S2TS-SAM-010;15171;15178;15175;15172;15181;15179;15182;15175;15173
