PLC_name;PLC_host;PLC_port(i);device_name;offset_Deshabilitar(i);offset_Habilitar_forzado(i);offset_Valor_forzado(i);offset_param_a(i);offset_param_b(i)
CT02_PLC_G;10.133.50.37;28014;SCNO-ANE-001;15507;15508;15509;15515;15517
CT02_PLC_G;10.133.50.37;28014;SCNO-ANE-002;15526;15527;15528;15534;15536
CT02_PLC_G;10.133.50.37;28014;S1TS-ANE-001;15545;15546;15547;15553;15555
CT02_PLC_G;10.133.50.37;28014;S1TS-ANE-002;15564;15565;15566;15572;15574
CT03_PLC_G;10.133.50.37;28021;S1TS-ANE-003;15507;15508;15509;15515;15517
CT03_PLC_G;10.133.50.37;28021;S1TS-ANE-004;15526;15527;15528;15534;15536
CT04_PLC_G;10.133.50.37;28028;S1TS-ANE-005;15507;15508;15509;15515;15517
CT04_PLC_G;10.133.50.37;28028;S2TN-ANE-001;15526;15527;15528;15534;15536
CT04_PLC_G;10.133.50.37;28028;S2TN-ANE-002;15545;15546;15547;15553;15555
CT05_PLC_G;10.133.50.37;28035;S2TS-ANE-001;15507;15508;15509;15515;15517
CT05_PLC_G;10.133.50.37;28035;S2TS-ANE-002;15526;15527;15528;15534;15536
CT05_PLC_G;10.133.50.37;28035;S2TN-ANE-003;15545;15546;15547;15553;15555
CT05_PLC_G;10.133.50.37;28035;S2TS-ANE-004;15564;15565;15566;15572;15574
CT05_PLC_G;10.133.50.37;28035;S2TN-ANE-005;15583;15584;15585;15591;15593
CT06_PLC_G;10.133.50.37;28042;S2TN-ANE-006;15507;15508;15509;15515;15517
CT06_PLC_G;10.133.50.37;28042;S2TS-ANE-005;15526;15527;15528;15534;15536
CT06_PLC_G;10.133.50.37;28042;S2TN-ANE-007;15545;15546;15547;15553;15555
CT06_PLC_G;10.133.50.37;28042;S2TS-ANE-006;15564;15565;15566;15572;15574
CT07_PLC_G;10.133.50.37;28049;S2TS-ANE-007;15507;15508;15509;15515;15517
CT07_PLC_G;10.133.50.37;28049;S2TN-ANE-008;15526;15527;15528;15534;15536
CT08_PLC_G;10.133.50.37;28056;S2TS-ANE-008;15507;15508;15509;15515;15517
CT08_PLC_G;10.133.50.37;28056;S2TN-ANE-009;15526;15527;15528;15534;15536
CT08_PLC_G;10.133.50.37;28056;S2TS-ANE-009;15545;15546;15547;15553;15555
CT08_PLC_G;10.133.50.37;28056;S2TN-ANE-010;15564;15565;15566;15572;15574
CT08_PLC_G;10.133.50.37;28056;S2TS-ANE-010;15583;15584;15585;15591;15593
