device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i)
SIGO-BIE-002;SIGO-BIE-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10000
SIGO-BIE-004;SIGO-BIE-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10017
S2TN-BIE-013;S2TN-BIE-013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10034
SVIP-BIE-002;SVIP-BIE-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10051
S1TS-BIE-045;S1TS-BIE-045;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10085
S1TS-BIE-047;S1TS-BIE-047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10102
S1TN-BIE-002;S1TN-BIE-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10119
S1TS-BIE-049;S1TS-BIE-049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10153
S1TN-BIE-004;S1TN-BIE-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10187
S1TN-BIE-006;S1TN-BIE-006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10204
S1TS-BIE-051;S1TS-BIE-051;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10221
S1TN-BIE-008;S1TN-BIE-008;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10238
S1TS-BIE-053;S1TS-BIE-053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10255
S1TN-BIE-010;S1TN-BIE-010;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10306
S1TS-BIE-055;S1TS-BIE-055;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10323
S2TS-BIE-003;S2TS-BIE-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10340
S2TN-BIE-003;S2TN-BIE-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10357
S2TS-BIE-005;S2TS-BIE-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10408
S2TN-BIE-005;S2TN-BIE-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10425
S2TS-BIE-007;S2TS-BIE-007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10476
S2TN-BIE-007;S2TN-BIE-007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10493
S2TS-BIE-009;S2TS-BIE-009;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC1;10.25.5.101;502;monitor;;10510
