device_name;session_uid;sos_electronic_fail;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i)
SMPN-BIE-002;SMPN-BIE-002;SMPN-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10000
SMPS-BIE-001;SMPS-BIE-001;SMPS-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10017
SAPR-BIE-001;SAPR-BIE-001;SAPR-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10034
SMPN-BIE-004;SMPN-BIE-004;SMPN-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10051
SMPS-BIE-003;SMPS-BIE-003;SMPS-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10068
SAPR-BIE-003;SAPR-BIE-003;SAPR-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10085
SMPN-BIE-006;SMPN-BIE-006;SMPN-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10102
SMPN-BIE-008;SMPN-BIE-008;SMPN-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10119
SMPN-BIE-010;SMPN-BIE-010;SMPN-CAB-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10136
IPRO-BIE-002;IPRO-BIE-002;IPRO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10170
S2TS-BIE-037;S2TS-BIE-037;S2TS-CAB-018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10187
S2TN-BIE-039;S2TN-BIE-039;S2TN-CAB-031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10204
S2TS-BIE-039;S2TS-BIE-039;S2TS-CAB-019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10221
S2TN-BIE-041;S2TN-BIE-041;S2TN-CAB-030;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10238
S2TS-BIE-041;S2TS-BIE-041;S2TS-CAB-020;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10255
S2TN-BIE-043;S2TN-BIE-043;S2TN-CAB-029;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10306
S2TS-BIE-043;S2TS-BIE-043;S2TS-CAB-021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10323
S2TN-BIE-045;S2TN-BIE-045;S2TN-CAB-028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10374
S2TS-BIE-045;S2TS-BIE-045;S2TS-CAB-022;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10391
S2TN-BIE-047;S2TN-BIE-047;S2TN-CAB-027;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10408
S2TS-BIE-047;S2TS-BIE-047;S2TS-CAB-023;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10425
S2TS-BIE-049;S2TS-BIE-049;S2TN-CAB-026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10442
S2TN-BIE-049;S2TN-BIE-049;S2TS-CAB-024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10459
S2TN-BIE-051;S2TN-BIE-051;S2TN-CAB-025;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10510
S2TS-BIE-051;S2TS-BIE-051;S2TS-CAB-025;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10527
S2TN-BIE-053;S2TN-BIE-053;S2TN-CAB-024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10578
S2TS-BIE-053;S2TS-BIE-053;S2TS-CAB-026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10595
S2TN-BIE-055;S2TN-BIE-055;S2TN-CAB-023;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10612
S2TS-BIE-055;S2TS-BIE-055;S2TS-CAB-027;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10629
S2TS-BIE-057;S2TS-BIE-057;S2TN-CAB-022;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10680
S2TN-BIE-057;S2TN-BIE-057;S2TS-CAB-028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10697
S2TN-BIE-059;S2TN-BIE-059;S2TN-CAB-021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10714
S2TS-BIE-059;S2TS-BIE-059;S2TS-CAB-029;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_A;10.133.50.37;28036;monitor;;10731
