device_name;session_uid;ct_upd;upd_state;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i)
SCNO-BIE-001;SCNO-BIE-001;PLC_CT02;upd_fail_1e03;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22801;22801;22801
SCNO-BIE-003;SCNO-BIE-003;PLC_CT02;upd_fail_1er1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22811;22811;22811
SCNO-BIE-005;SCNO-BIE-005;PLC_CT02;upd_fail_1er1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22821;22821;22821
SCNO-BIE-007;SCNO-BIE-007;PLC_CT02;upd_fail_1er2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22831;22831;22831
SCNO-BIE-009;SCNO-BIE-009;PLC_CT02;upd_fail_1er2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22841;22841;22841
SCNO-BIE-011;SCNO-BIE-011;PLC_CT02;upd_fail_1er2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22851;22851;22851
S1TS-BIE-002;S1TS-BIE-002;PLC_CT02;upd_fail_1e01;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22861;22861;22861
S1TS-BIE-004;S1TS-BIE-004;PLC_CT02;upd_fail_1e01;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22871;22871;22871
S1TS-BIE-006;S1TS-BIE-006;PLC_CT02;upd_fail_1e02;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22881;22881;22881
S1TS-BIE-008;S1TS-BIE-008;PLC_CT02;upd_fail_1e02;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22891;22891;22891
S1TS-BIE-010;S1TS-BIE-010;PLC_CT02;upd_fail_1e02;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22901;22901;22901
S1TS-BIE-012;S1TS-BIE-012;PLC_CT02;upd_fail_1e03;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22911;22911;22911
S1TS-BIE-014;S1TS-BIE-014;PLC_CT02;upd_fail_1e03;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22921;22921;22921
S1TS-BIE-016;S1TS-BIE-016;PLC_CT02;upd_fail_1e04;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22931;22931;22931
S1TS-BIE-018;S1TS-BIE-018;PLC_CT02;upd_fail_1e04;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22941;22941;22941
S1TS-BIE-020;S1TS-BIE-020;PLC_CT02;upd_fail_1e04;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22951;22951;22951
S1TS-BIE-022;S1TS-BIE-022;PLC_CT02;upd_fail_1e05;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22961;22961;22961
S1TS-BIE-024;S1TS-BIE-024;PLC_CT02;upd_fail_1e05;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_B;10.133.50.37;28009;monitor;;22971;22971;22971
