device_name;PLC_name;ip_PLC;PLC_port(i);offset_ilu_state(i)
1ER1-DAL-001;CT02_PLC_D;10.133.50.37;28011;5260
1ER2-DAL-001;CT02_PLC_D;10.133.50.37;28011;5261
1ER2-DAL-002;CT02_PLC_D;10.133.50.37;28011;5262
1ER2-DAL-003;CT02_PLC_D;10.133.50.37;28011;5263
1ER2-DAL-004;CT02_PLC_D;10.133.50.37;28011;5264
1ER2-DAL-005;CT02_PLC_D;10.133.50.37;28011;5265
1ER2-DAL-006;CT02_PLC_D;10.133.50.37;28011;5266
1E01-DAL-001;CT02_PLC_D;10.133.50.37;28011;5267
1E01-DAL-002;CT02_PLC_D;10.133.50.37;28011;5268
1E01-DAL-003;CT02_PLC_D;10.133.50.37;28011;5269
1E01-DAL-004;CT02_PLC_D;10.133.50.37;28011;5270
1E02-DAL-001;CT02_PLC_D;10.133.50.37;28011;5271
1E02-DAL-002;CT02_PLC_D;10.133.50.37;28011;5272
1E02-DAL-003;CT02_PLC_D;10.133.50.37;28011;5273
1E02-DAL-004;CT02_PLC_D;10.133.50.37;28011;5274
1E03-DAL-001;CT02_PLC_D;10.133.50.37;28011;5275
1E03-DAL-002;CT02_PLC_D;10.133.50.37;28011;5276
1E04-DAL-001;CT02_PLC_D;10.133.50.37;28011;5277
1E04-DAL-002;CT02_PLC_D;10.133.50.37;28011;5278
1E05-DAL-001;CT02_PLC_D;10.133.50.37;28011;5279
1E05-DAL-002;CT02_PLC_D;10.133.50.37;28011;5280
SAEB-DAL-001;CT03_PLC_D;10.133.50.37;28018;5260
SAEB-DAL-002;CT03_PLC_D;10.133.50.37;28018;5261
SAEB-DAL-003;CT03_PLC_D;10.133.50.37;28018;5262
SAEB-DAL-004;CT03_PLC_D;10.133.50.37;28018;5263
1E06-DAL-001;CT03_PLC_D;10.133.50.37;28018;5264
1E06-DAL-002;CT03_PLC_D;10.133.50.37;28018;5265
1E07-DAL-001;CT03_PLC_D;10.133.50.37;28018;5266
1E07-DAL-002;CT03_PLC_D;10.133.50.37;28018;5267
1E08-DAL-001;CT03_PLC_D;10.133.50.37;28018;5268
1E08-DAL-002;CT03_PLC_D;10.133.50.37;28018;5269
1ES1-DAL-001;CT03_PLC_D;10.133.50.37;28018;5270
1ES1-DAL-002;CT03_PLC_D;10.133.50.37;28018;5271
1ES1-DAL-003;CT03_PLC_D;10.133.50.37;28018;5272
1ES1-DAL-004;CT03_PLC_D;10.133.50.37;28018;5273
SIGO-DAL-001;CT04_PLC_D;10.133.50.37;28025;5260
SIGO-DAL-002;CT04_PLC_D;10.133.50.37;28025;5261
SVIP-DAL-001;CT04_PLC_D;10.133.50.37;28025;5262
