device_name;session_uid;site;carril;det_order;det_name;host;port;url_publisher;num_polling_out_comm;time_polling_ms;sensorL;sensorP;sensorL2
IVEN-ETD-001;IVEN-ETD-001;1001;1;1;IVEN-E+P-001;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
IVEN-ETD-001;IVEN-ETD-001;1001;2;2;IVEN-E+P-002;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S1TN-ETD-002;S1TN-ETD-002;1020;1;1;S1TN-E+P-004;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S1TN-ETD-002;S1TN-ETD-002;1020;2;2;S1TN-E+P-005;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S1TN-ETD-002;S1TN-ETD-002;1020;3;3;S1TN-E+P-006;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S1TN-ETD-001;S1TN-ETD-001;1019;1;1;S1TN-E+P-001;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S1TN-ETD-001;S1TN-ETD-001;1019;2;2;S1TN-E+P-002;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S1TN-ETD-001;S1TN-ETD-001;1019;3;3;S1TN-E+P-003;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S1TS-ETD-001;S1TS-ETD-001;1002;1;1;S1TS-E+P-001;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S1TS-ETD-001;S1TS-ETD-001;1002;2;2;S1TS-E+P-002;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S1TS-ETD-001;S1TS-ETD-001;1002;3;3;S1TS-E+P-003;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S1TS-ETD-002;S1TS-ETD-002;1003;1;1;S1TS-E+P-004;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S1TS-ETD-002;S1TS-ETD-002;1003;2;2;S1TS-E+P-005;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S1TS-ETD-002;S1TS-ETD-002;1003;3;3;S1TS-E+P-006;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S1TS-ETD-003;S1TS-ETD-003;1004;1;1;S1TS-E+P-007;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S1TS-ETD-003;S1TS-ETD-003;1004;2;2;S1TS-E+P-008;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S1TS-ETD-003;S1TS-ETD-003;1004;3;3;S1TS-E+P-009;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TS-ETD-001;S2TS-ETD-001;1005;1;1;S2TS-E+P-001;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TS-ETD-001;S2TS-ETD-001;1005;2;2;S2TS-E+P-002;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TS-ETD-001;S2TS-ETD-001;1005;3;3;S2TS-E+P-003;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TS-ETD-002;S2TS-ETD-002;1006;1;1;S2TS-E+P-004;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TS-ETD-002;S2TS-ETD-002;1006;2;2;S2TS-E+P-005;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TS-ETD-002;S2TS-ETD-002;1006;3;3;S2TS-E+P-006;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TS-ETD-003;S2TS-ETD-003;1007;1;1;S2TS-E+P-007;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TS-ETD-003;S2TS-ETD-003;1007;2;2;S2TS-E+P-008;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TS-ETD-003;S2TS-ETD-003;1007;3;3;S2TS-E+P-009;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TS-ETD-004;S2TS-ETD-004;1008;1;1;S2TS-E+P-010;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TS-ETD-004;S2TS-ETD-004;1008;2;2;S2TS-E+P-011;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TS-ETD-004;S2TS-ETD-004;1008;3;3;S2TS-E+P-012;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TS-ETD-005;S2TS-ETD-005;1009;1;1;S2TS-E+P-013;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TS-ETD-005;S2TS-ETD-005;1009;2;2;S2TS-E+P-014;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TS-ETD-005;S2TS-ETD-005;1009;3;3;S2TS-E+P-015;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TS-ETD-006;S2TS-ETD-006;1010;1;1;S2TS-E+P-016;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TS-ETD-006;S2TS-ETD-006;1010;2;2;S2TS-E+P-017;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TS-ETD-006;S2TS-ETD-006;1010;3;3;S2TS-E+P-018;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-001;S2TN-ETD-001;1011;1;1;S2TN-E+P-001;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-001;S2TN-ETD-001;1011;2;2;S2TN-E+P-002;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-001;S2TN-ETD-001;1011;3;3;S2TN-E+P-003;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-002;S2TN-ETD-002;1012;1;1;S2TN-E+P-004;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-002;S2TN-ETD-002;1012;2;2;S2TN-E+P-005;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-002;S2TN-ETD-002;1012;3;3;S2TN-E+P-006;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-003;S2TN-ETD-003;1013;1;1;S2TN-E+P-007;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-003;S2TN-ETD-003;1013;2;2;S2TN-E+P-008;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-003;S2TN-ETD-003;1013;3;3;S2TN-E+P-009;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-004;S2TN-ETD-004;1014;1;1;S2TN-E+P-010;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-004;S2TN-ETD-004;1014;2;2;S2TN-E+P-011;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-004;S2TN-ETD-004;1014;3;3;S2TN-E+P-012;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-005;S2TN-ETD-005;1016;1;1;S2TN-E+P-019;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-005;S2TN-ETD-005;1016;2;2;S2TN-E+P-020;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-005;S2TN-ETD-005;1016;3;3;S2TN-E+P-021;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-006;S2TN-ETD-006;1015;1;1;S2TN-E+P-016;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-006;S2TN-ETD-006;1015;2;2;S2TN-E+P-017;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-006;S2TN-ETD-006;1015;3;3;S2TN-E+P-018;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-007;S2TN-ETD-007;1017;1;1;S2TN-E+P-022;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-007;S2TN-ETD-007;1017;2;2;S2TN-E+P-023;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-007;S2TN-ETD-007;1017;3;3;S2TN-E+P-024;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
S2TN-ETD-008;S2TN-ETD-008;1018;1;1;S2TN-E+P-013;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;1;1;2
S2TN-ETD-008;S2TN-ETD-008;1018;2;2;S2TN-E+P-014;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;3;2;4
S2TN-ETD-008;S2TN-ETD-008;1018;3;3;S2TN-E+P-015;10.133.50.39;1433;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;2;60000;5;3;6
