PLC_name;PLC_host;PLC_port(i);device_name;url_publisher;offset_illumination_mode_b(i);bit_illumination_mode_b(i);offset_illumination_mode_writter(i);offset_illumination_regime(i);offset_illumination_regime_writter(i);offset_illumination_regime_propoused(i);mask_on;mask_off;PLC_publisher;read_CT
CT02_PLC_G;10.133.50.37;28014;S1TS_Tramo_1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;0;5340;110;5260;99;0x0001;0xFFFE;CT02_PLC_G;CT02
CT02_PLC_G;10.133.50.37;28014;S1TS_Tramo_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;1;5340;111;5261;106;0x0002;0XFFFD;CT02_PLC_G;CT02
CT02_PLC_G;10.133.50.37;28014;S1TS_Tramo_3;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;2;5340;112;5262;106;0x0004;0XFFFB;CT02_PLC_G;CT02
CT02_PLC_G;10.133.50.37;28014;S1TS_Tramo_4;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;3;5340;113;5263;106;0x0008;0xFFF7;CT03_PLC_G;CT03
CT02_PLC_G;10.133.50.37;28014;S1TS_Tramo_5;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;4;5340;114;5264;106;0x0010;0xFFEF;CT04_PLC_G;CT04
CT02_PLC_G;10.133.50.37;28014;S1TS_Tramo_6;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;5;5340;115;5265;106;0x0020;0xFFDF;CT04_PLC_G;CT04
CT02_PLC_G;10.133.50.37;28014;S1TS_Tramo_7;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;6;5340;116;5266;106;0x0040;0xFFBF;CT04_PLC_G;CT04
CT02_PLC_G;10.133.50.37;28014;S2TS_Tramo_8;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;7;5340;117;5267;106;0x0080;0xFF7F;CT04_PLC_G;CT04
CT02_PLC_G;10.133.50.37;28014;S2TS_Tramo_9;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;8;5340;118;5268;106;0x0100;0xFEFF;CT05_PLC_G;CT05
CT02_PLC_G;10.133.50.37;28014;S2TS_Tramo_10;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;90;9;5340;119;5269;106;0x0200;0xFDFF;CT05_PLC_G;CT05
