device_name;session_uid;plc_name;host;ct_upd;upd_state;port(i);url_publisher;offset_state(i)
UF-1ES1-CAB-001;UF-1ES1-CAB-001;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22001
UF-SAEB-CAB-001;UF-SAEB-CAB-001;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22007
UF-SAEB-CAB-002;UF-SAEB-CAB-002;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22013
UF-S1TS-CAB-019;UF-S1TS-CAB-019;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22019
UF-S1TS-CAB-020;UF-S1TS-CAB-020;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22025
CC.05;CC.05;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22031
1ES1-ELE-001.PEVPres;1ES1-ELE-001.PEVPres;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22037
UF-S1TS-CAB-013;UF-S1TS-CAB-013;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e06;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22043
UF-1E06-CAB-001;UF-1E06-CAB-001;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e06;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22049
UF-S1TS-CAB-014;UF-S1TS-CAB-014;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e06;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22055
CC.04;CC.04;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e06;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22061
1E06-ELE-001.PEVPres;1E06-ELE-001.PEVPres;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e06;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22067
UF-S1TS-CAB-015;UF-S1TS-CAB-015;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e07;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22073
UF-1E07-CAB-001;UF-1E07-CAB-001;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e07;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22079
UF-S1TS-CAB-016;UF-S1TS-CAB-016;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e07;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22085
1E07-ELE-001.PEVPres;1E07-ELE-001.PEVPres;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e07;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22091
UF-S1TS-CAB-017;UF-S1TS-CAB-017;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e08;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22097
UF-1E08-CAB-001;UF-1E08-CAB-001;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e08;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22103
UF-S1TS-CAB-018;UF-S1TS-CAB-018;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e08;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22109
1E08-ELE-001.PEVPres;1E08-ELE-001.PEVPres;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1e08;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22115
CT03-RACK-RADIO.IntABIERTO;CT03-RACK-RADIO.IntABIERTO;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_ct03_2;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22121
CT03-RACK-COM.IntABIERTO;CT03-RACK-COM.IntABIERTO;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_ct03_2;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22127
CT03-RACK-MEGAF.IntABIERTO;CT03-RACK-MEGAF.IntABIERTO;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_ct03_2;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22133
CT03-P109.IntABIERTO;CT03-P109.IntABIERTO;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_ct03_2;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22139
CT03-P212.IntABIERTO;CT03-P212.IntABIERTO;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_ct03_2;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22145
CT03-P204.IntABIERTO;CT03-P204.IntABIERTO;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_ct03_2;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22151
UF-SAEB-AIM-001;UF-SAEB-AIM-001;CT03_PLC_G;10.133.50.37;PLC_CT03;upd_fail_1es1;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22157
