device_name;session_uid;PLC_name;host;PLC_port(i);url_publisher;read_permission;write_permission;offset_state(i);bit_state(i)
ALJ1-DETFLJ-PCI-1;ALJ1-DETFLJ-PCI-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;4
ALJ1-DETFLJ-PCI-2;ALJ1-DETFLJ-PCI-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;5
ALJ1-DETPR-PCI-1;ALJ1-DETPR-PCI-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;3
ALJ2-DETFLJ-PCI-1;ALJ2-DETFLJ-PCI-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;4
ALJ2-DETFLJ-PCI-2;ALJ2-DETFLJ-PCI-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;5
ALJ2-DETPR-PCI-1;ALJ2-DETPR-PCI-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;3
ALJ3-DETFLJ-PCI-1;ALJ3-DETFLJ-PCI-1;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;4
ALJ3-DETFLJ-PCI-2;ALJ3-DETFLJ-PCI-2;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;5
ALJ3-DETPR-PCI-1;ALJ3-DETPR-PCI-1;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;3
ALJ4-DETFLJ-PCI-1;ALJ4-DETFLJ-PCI-1;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;4
ALJ4-DETFLJ-PCI-2;ALJ4-DETFLJ-PCI-2;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;5
ALJ4-DETPR-PCI-1;ALJ4-DETPR-PCI-1;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;3
ALJ1-DETROOM-PCI-1;ALJ1-DETROOM-PCI-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;10
ALJ2-DETROOM-PCI-1;ALJ2-DETROOM-PCI-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;10
ALJ3-DETROOM-PCI-1;ALJ3-DETROOM-PCI-1;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;10
ALJ4-DETROOM-PCI-1;ALJ4-DETROOM-PCI-1;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;10
