device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
AL.SE8.2.S1;AL.SE8.2.S1;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE8.1.P1;AL.SE8.1.P1;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE8.1.P2;AL.SE8.1.P2;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE8.1.P3;AL.SE8.1.P3;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE8.2.P1;AL.SE8.2.P1;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE8.2.P2;AL.SE8.2.P2;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE8.2.P3;AL.SE8.2.P3;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE8.2.P4;AL.SE8.2.P4;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
CT08-EMR-001;CT08-EMR-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
CT08-EMR-002;CT08-EMR-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
