PLC_name;PLC_host;PLC_port(i);device_name;offset_Deshabilitar(i);offset_Habilitar_forzado(i);offset_Parametro_C(i);offset_Valor_forzado(i)
CT02_PLC_G;10.133.50.37;28014;S1TS-LUX-001;15805;15806;15807;15813
CT02_PLC_G;10.133.50.37;28014;S1TS-LUX-002;15820;15821;15822;15828
CT05_PLC_G;10.133.50.37;28035;INKP-LUX-001;15805;15806;15807;15813
CT05_PLC_G;10.133.50.37;28035;S2TN-LUX-001;15820;15821;15822;15828
CT05_PLC_G;10.133.50.37;28035;S2TS-LUX-001;15835;15836;15837;15843
CT05_PLC_G;10.133.50.37;28035;S2TS-LUX-002;15850;15851;15852;15858
CT06_PLC_G;10.133.50.37;28042;IPRO-LUX-001;15805;15806;15807;15813
CT06_PLC_G;10.133.50.37;28042;S2TS-LUX-003;15820;15821;15822;15828
CT07_PLC_G;10.133.50.37;28049;S2TN-LUX-002;15805;15806;15807;15813
CT07_PLC_G;10.133.50.37;28049;S2TN-LUX-003;15820;15821;15822;15828
CT08_PLC_G;10.133.50.37;28056;ICCP-LUX-001;15805;15806;15807;15813
CT08_PLC_G;10.133.50.37;28056;IBTO-LUX-001;15820;15821;15822;15828
