device_name;session_uid;id_zone;controller_name;url_publisher
S1TS-ZMEG-00;S1TS-ZMEG-00;1;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS-ZMEG-01;S1TS-ZMEG-01;2;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
"SCNO-ZMEG-01 ";"SCNO-ZMEG-01 ";6;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS-ZMEG-02;S1TS-ZMEG-02;8;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SAEB-ZMEG-01;SAEB-ZMEG-01;13;CT04-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS-ZMEG-03;S1TS-ZMEG-03;14;CT04-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SIGO-ZMEG-01;SIGO-ZMEG-01;16;CT05-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TN-ZMEG-01;S1TN-ZMEG-01;17;CT05-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ST2N-ZMEG-05;ST2N-ZMEG-05;19;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SVIP-ZMEG-01;SVIP-ZMEG-01;21;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN-ZMEG-04;S2TN-ZMEG-04;22;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP-ZMEG-01;INKP-ZMEG-01;26;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS-ZMEG-01;S2TS-ZMEG-01;30;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS-ZMEG-02;S2TS-ZMEG-02;32;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IVIP-ZMEG-01;IVIP-ZMEG-01;36;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IVIP-ZMEG-02;IVIP-ZMEG-02;37;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP-ZMEG-02;INKP-ZMEG-02;38;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICNP-ZMEG-01;ICNP-ZMEG-01;39;CT01-UCM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SMPN-ZMEG-01;SMPN-ZMEG-01;;;
S2TS-ZMEG-03;S2TS-ZMEG-03;;;
S2TN-ZMEG-03;S2TN-ZMEG-03;;;
SAPR-ZMEG-01;SAPR-ZMEG-01;;;
IPRO-ZMEG-01;IPRO-ZMEG-01;;;
IPRO-ZMEG-02;IPRO-ZMEG-02;;;
SMPS-ZMEG-01;SMPS-ZMEG-01;;;
S2TN-ZMEG-02;S2TN-ZMEG-02;;;
ICCO-ZMEG-01;ICCO-ZMEG-01;;;
ICCO-ZMEG-02;ICCO-ZMEG-02;;;
S2TN-ZMEG-01;S2TN-ZMEG-01;;;
IBTO-ZMEG-01;IBTO-ZMEG-01;;;
IBTO-ZMEG-02;IBTO-ZMEG-02;;;
S2TS-ZMEG-04;S2TS-ZMEG-04;;;
ICCP-ZMEG-01;ICCP-ZMEG-01;;;
ICCP-ZMEG-02;ICCP-ZMEG-02;;;
S2TS-ZMEG-04;S2TS-ZMEG-04;;;
SBTP-ZMEG-01;SBTP-ZMEG-01;;;
SNKO-ZMEG-01;SNKO-ZMEG-01;;;
