device_name;session_uid;id_zone;controller_name;url_publisher
S1TS-ZMEG-00;S1TS-ZMEG-00;1;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS-ZMEG-01;S1TS-ZMEG-01;2;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SCNO-ZMEG-01;SCNO-ZMEG-01;3;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS-ZMEG-02;S1TS-ZMEG-02;4;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SAEB-ZMEG-01;SAEB-ZMEG-01;5;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS-ZMEG-03;S1TS-ZMEG-03;6;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SIGO-ZMEG-01;SIGO-ZMEG-01;7;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TN-ZMEG-01;S1TN-ZMEG-01;8;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN-ZMEG-05;S2TN-ZMEG-05;13;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SVIP-ZMEG-01;SVIP-ZMEG-01;12;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN-ZMEG-04;S2TN-ZMEG-04;14;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP-ZMEG-01;INKP-ZMEG-01;15;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS-ZMEG-01;S2TS-ZMEG-01;19;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS-ZMEG-02;S2TS-ZMEG-02;20;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IVIP-ZMEG-01;IVIP-ZMEG-01;21;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IVIP-ZMEG-02;IVIP-ZMEG-02;22;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP-ZMEG-02;INKP-ZMEG-02;23;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICNP-ZMEG-01;ICNP-ZMEG-01;24;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SMPN-ZMEG-01;SMPN-ZMEG-01;25;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS-ZMEG-03;S2TS-ZMEG-03;26;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN-ZMEG-03;S2TN-ZMEG-03;17;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SAPR-ZMEG-01;SAPR-ZMEG-01;11;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IPRO-ZMEG-01;IPRO-ZMEG-01;9;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IPRO-ZMEG-02;IPRO-ZMEG-02;27;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SMPS-ZMEG-01;SMPS-ZMEG-01;28;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN-ZMEG-02;S2TN-ZMEG-02;29;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCO-ZMEG-01;ICCO-ZMEG-01;30;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCO-ZMEG-02;ICCO-ZMEG-02;31;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN-ZMEG-01;S2TN-ZMEG-01;32;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IBTO-ZMEG-01;IBTO-ZMEG-01;33;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IBTO-ZMEG-02;IBTO-ZMEG-02;34;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS-ZMEG-04;S2TS-ZMEG-04;35;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCP-ZMEG-01;ICCP-ZMEG-01;36;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCP-ZMEG-02;ICCP-ZMEG-02;37;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS-ZMEG-05;S2TS-ZMEG-05;10;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SBTP-ZMEG-01;SBTP-ZMEG-01;38;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SNKO-ZMEG-01;SNKO-ZMEG-01;16;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SICO-ZMEG-01;SICO-ZMEG-01;40;UCM-MASTER;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
