device_name;session_uid;url_publisher;PLC_name;ip;port(i);read_permission;write_permission;offset_fan_running(i);offset_fan_fail_start(i);offset_fan_fail_stop(i);offset_fan_fail(i);offset_fan_start(i);offset_reset_alarms(i);offset_reset_alarms_read(i);offset_partial_hours_reset(i);offset_local_remote(i);offset_fan_stop(i);offset_total_operating_hours(i);offset_parcial_operating_hours(i)
2E18-GAL5-1;2E18-GAL5-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21100;21101;21101;21101;21119;21121;21100;21122;21100;21120;21104;21103
2E18-GAL5-2;2E18-GAL5-2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21123;21124;21124;21124;21142;21144;21123;21145;21123;21143;21127;21126
2E19-GAL6-1;2E19-GAL6-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21146;21147;21147;21147;21165;21167;21146;21168;21146;21166;21150;21149
2E19-GAL6-2;2E19-GAL6-2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21169;21170;21170;21170;21188;21190;21169;21191;21169;21189;21173;21172
2E20-GAL7-1;2E20-GAL7-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21192;21193;21193;21193;21211;21213;21192;21214;21192;21212;21196;21195
2E20-GAL7-2;2E20-GAL7-2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21215;21216;21216;21216;21234;21236;21215;21237;21215;21235;21219;21218
2E21-GAL8-1;2E21-GAL8-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21238;21239;21239;21239;21257;21259;21238;21260;21238;21258;21242;21241
2E21-GAL8-2;2E21-GAL8-2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21261;21262;21262;21262;21280;21282;21261;21283;21261;21281;21265;21264
2E21-GAL9-1;2E21-GAL9-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21284;21285;21285;21285;21303;21305;21284;21306;21284;21304;21288;21287
2E21-GAL9-2;2E21-GAL9-2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_C;10.133.50.37;28045;monitor;;21307;21308;21308;21308;21326;21328;21307;21329;21307;21327;21311;21310
