device_name;session_uid;ip;port(i);url_publisher;num_polling_out_comm;time_polling_ms;readCommunity;writeCommunity;read_permission;write_permission
S1TS-PMV-001;S1TS-PMV-001;10.35.1.4;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S1TS-PMV-002;S1TS-PMV-002;10.35.2.4;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S1TS-PMV-003;S1TS-PMV-003;10.35.4.7;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S1TS-PMV-004;S1TS-PMV-004;10.35.4.17;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S1TN-PMV-003;S1TN-PMV-003;10.35.3.1;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
IVEN-PMV-001;IVEN-PMV-001;10.35.21.1;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
ICEP-PMV-001;ICEP-PMV-001;10.35.21.3;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S1TN-PMV-001;S1TN-PMV-001;10.35.5.25;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S1TN-PMV-002;S1TN-PMV-002;10.35.3.3;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
INKP-PMV-001;INKP-PMV-001;10.35.11.1;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
IVIP-PMV-001;IVIP-PMV-001;10.35.10.29;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
IPRO-PMV-001;IPRO-PMV-001;10.35.12.15;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
ICCO-PMV-001;ICCO-PMV-001;10.35.15.21;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
ICCP-PMV-001;ICCP-PMV-001;10.35.18.15;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
IBTO-PMV-001;IBTO-PMV-001;10.35.17.28;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TS-PMV-004;S2TS-PMV-004;10.35.16.10;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TN-PMV-001;S2TN-PMV-001;10.35.15.20;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TS-PMV-005;S2TS-PMV-005;10.35.16.22;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TS-PMV-006;S2TS-PMV-006;10.35.18.11;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TN-PMV-006;S2TN-PMV-006;10.35.8.12;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TN-PMV-005;S2TN-PMV-005;10.35.9.1;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TN-PMV-004;S2TN-PMV-004;10.35.12.4;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TN-PMV-003;S2TN-PMV-003;10.35.12.14;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TN-PMV-002;S2TN-PMV-002;10.35.15.4;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TS-PMV-003;S2TS-PMV-003;10.35.14.26;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TS-PMV-001;S2TS-PMV-001;10.35.10.16;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TS-PMV-002;S2TS-PMV-002;10.35.10.28;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
ICEO-PMV-001;ICEO-PMV-001;10.35.21.2;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
S2TS-PMV-007;S2TS-PMV-007;10.35.7.16;161;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;2;10000;public;public;monitor;
