device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
RNRKD05L;RNRKD05L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.23;PLCRNRKD05L;502;monitor;;0;1;2;3
RNRKD07L;RNRKD07L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.29;PLCRNRKD07L;502;monitor;;0;1;2;3
RPDZDH02L;RPDZDH02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.4.3;PLCRPDZDH02L;502;monitor;;0;1;2;3
RPDZDH03L;RPDZDH03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.5.2;PLCRPDZDH03L;502;monitor;;0;1;2;3
RPDZDH04L;RPDZDH04L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.5.5;PLCRPDZDH04L;502;monitor;;0;1;2;3
RPDZDH06P;RPDZDH06P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.6.2;PLCRPDZDH06P;502;monitor;;0;1;2;3
RPDZDH08L;RPDZDH08L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.6.9;PLCRPDZDH08L;502;monitor;;0;1;2;3
RPDZDH09L;RPDZDH09L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.6.11;PLCRPDZDH09L;502;monitor;;0;1;2;3
RPDZDH10L;RPDZDH10L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.6.15;PLCRPDZDH10L;502;monitor;;0;1;2;3
RNRJS21P;RNRJS21P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.6;PLCRNRJS21P;502;monitor;;0;1;2;3
RPDZJS01P;RPDZJS01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.22;PLCRPDZJS01P;502;monitor;;0;1;2;3
RPDZJS02P;RPDZJS02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.25;PLCRPDZJS02P;502;monitor;;0;1;2;3
RPDZJS03P;RPDZJS03P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.27;PLCRPDZJS03P;502;monitor;;0;1;2;3
RNRSPSJS489L;RNRSPSJS489L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.33;PLCRNRSPSJS489L;502;monitor;;0;1;2;3
RPDZJS05L;RPDZJS05L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.12.8;PLCRPDZJS05L;502;monitor;;0;1;2;3
RPDZJS06L;RPDZJS06L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.12.10;PLCRPDZJS06L;502;monitor;;0;1;2;3
RNRJS400;RNRJS400;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.21.29;PLCRNRJS400;502;monitor;;0;1;2;3
RNRJS06L;RNRJS06L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.21;PLCRNRJS06L;502;monitor;;0;1;2;3
RNRJS12P;RNRJS12P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.6;PLCRNRJS12P;502;monitor;;0;1;2;3
RNRJS15P;RNRJS15P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.32;PLCRNRJS15P;502;monitor;;0;1;2;3
RNRSR02P;RNRSR02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.4;PLCRNRSR02P;502;monitor;;0;1;2;3
RNRSR467L;RNRSR467L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.8;PLCRNRSR467L;502;monitor;;0;1;2;3
RNRSR04P;RNRSR04P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.13;PLCRNRSR04P;502;monitor;;0;1;2;3
RNRMP02;RNRMP02;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.20.45;PLCRNRMP02;502;monitor;;0;1;2;3
RNSPK03L;RNSPK03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.4;PLCRNSPK03L;502;monitor;;0;1;2;3
RNLPK05L;RNLPK05L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.8;PLCRNLPK05L;502;monitor;;0;1;2;3
RNRPK05L;RNRPK05L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.18;PLCRNRPK05L;502;monitor;;0;1;2;3
RNRPK10L;RNRPK10L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.20.23;PLCRNRPK10L;502;monitor;;0;1;2;3
RNRPK12L;RNRPK12L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.20.33;PLCRNRPK12L;502;monitor;;0;1;2;3
RNRJS10P;RNRJS10P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.9.4;PLCRNRJS10P;502;monitor;;0;1;2;3
RNRJS11P;RNRJS11P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.2;PLCRNRJS11P;502;monitor;;0;1;2;3
RNRJS13P;RNRJS13P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.11;PLCRNRJS13P;502;monitor;;0;1;2;3
RKDJSRP1;RKDJSRP1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;172.17.231.1;PLCRKDJSRP1;502;monitor;;0;1;2;3
RKDJSRP2;RKDJSRP2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;172.17.231.11;PLCRKDJSRP2;502;monitor;;0;1;2;3
RKDJSRL1;RKDJSRL1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;172.17.230.1;PLCRKDJSRL1;502;monitor;;0;1;2;3
RKDJSRL2;RKDJSRL2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;172.17.230.11;PLCRKDJSRL2;502;monitor;;0;1;2;3
RNRLJSRP1;RNRLJSRP1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.31.1;PLCRNRLJSRP1;502;monitor;;0;1;2;3
RNRLJSRP2;RNRLJSRP2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.31.3;PLCRNRLJSRP2;502;monitor;;0;1;2;3
RNRLJSRL1;RNRLJSRL1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.30.1;PLCRNRLJSRL1;502;monitor;;0;1;2;3
RNRLJSRL2;RNRLJSRL2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.30.3;PLCRNRLJSRL2;502;monitor;;0;1;2;3
