device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
TUKD01L;TUKD01L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.1;PLCTUKD01L;502;monitor;;0;1;2;3
TUKD02L;TUKD02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.2.1;PLCTUKD02L;502;monitor;;0;1;2;3
TUDH01L;TUDH01L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.3.1;PLCTUDH01L;502;monitor;;0;1;2;3
TUDH02L;TUDH02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.4.1;PLCTUDH02L;502;monitor;;0;1;2;3
TUDH03L;TUDH03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.5.1;PLCTUDH03L;502;monitor;;0;1;2;3
TUDH04L;TUDH04L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.6.1;PLCTUDH04L;502;monitor;;0;1;2;3
TUDH05L;TUDH05L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.1;PLCRTUDH05L;502;monitor;;0;1;2;3
TUJS04P;TUJS04P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.1;PLCTUJS04P;502;monitor;;0;1;2;3
TUJS05P;TUJS05P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.12.1;PLCTUJS05P;502;monitor;;0;1;2;3
TUJS06P;TUJS06P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.13.1;PLCTUJS06P;502;monitor;;0;1;2;3
TUJS07P;TUJS07P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.14.1;PLCTUJS07P;502;monitor;;0;1;2;3
TUJS08P;TUJS08P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.15.1;PLCRTUJS08P;502;monitor;;0;1;2;3
TUJS09P;TUJS09P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.1;PLCRTUJS09P;502;monitor;;0;1;2;3
TUJS01P;TUJS01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.1;PLCTUJS01P;502;monitor;;0;1;2;3
TUJS02L;TUJS02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.9.1;PLCTUJS02L;502;monitor;;0;1;2;3
TUJS03P;TUJS03P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.1;PLCTUJS03P;502;monitor;;0;1;2;3
TUSR01P;TUSR01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.1;PLCTUSR01P;502;monitor;;0;1;2;3
TUSR02P;TUSR02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.18.1;PLCTUSR02P;502;monitor;;0;1;2;3
TUPK01L;TUPK01L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.1;PLCTUPK01L;502;monitor;;0;1;2;3
TUPK02L;TUPK02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.20.1;PLCTUPK02L;502;monitor;;0;1;2;3
