device_name;session_uid;url_publisher;PLC_IP;PLC_name;port(i)
Poklop_1;Poklop_1;10.120.50.248;10.191.9.28;PLCRAIDJSKD01;502
Poklop_2;Poklop_2;10.120.50.248;10.191.9.36;PLCRAIDJSKD09;502
Poklop_3;Poklop_3;10.120.50.248;10.191.9.37;PLCRAIDJSKD10;502
Poklop_4;Poklop_4;10.120.50.248;10.191.9.38;PLCRAIDJSKD11;502
Poklop_5;Poklop_5;10.120.50.248;10.191.9.39;PLCRAIDJSKD12;502
Poklop_6;Poklop_6;10.120.50.248;10.191.9.40;PLCRAIDJSKD13;502
Poklop_7;Poklop_7;10.120.50.248;10.191.9.42;PLCRAIDJSKD15;502
Poklop_8;Poklop_8;10.120.50.248;10.191.10.83;PLCRAIDJSKD17;502
Poklop_9;Poklop_9;10.120.50.248;10.191.10.84;PLCRAIDJSKD18;502
Poklop_10;Poklop_10;10.120.50.248;10.191.10.89;PLCRAIDJSKD23;502
Poklop_11;Poklop_11;10.120.50.248;10.191.10.96;PLCRAIDJSKD30;502
