device_name;session_uid;det_name;line_index;line;url_panels;url_alarms;url_traffic_data;time_polling_plc_ms;url_publisher;num_polling_out_comm
3DDH02P;3DDH02P;DET02-P-3DDH02P;1;1;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=20;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DDH02P;3DDH02P;DET03-P-3DDH02P;2;2;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=20;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DDH03L;3DDH03L;DET02-L-3DDH03L;1;1;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=1;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DDH03L;3DDH03L;DET03-L-3DDH03L;2;2;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=1;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DDH01P;3DDH01P;DET02-P-3DDH01L;1;1;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=30;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DDH01P;3DDH01P;DET03-P-3DDH01L;2;2;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=30;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DDH01L;3DDH01L;DET02-L-3DDH01L;1;1;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=31;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DDH01L;3DDH01L;DET03-L-3DDH01L;2;2;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=31;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DKD01P;3DKD01P;DET02-P-3DKD01L;1;1;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=40;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DKD01P;3DKD01P;DET03-P-3DKD01L;2;2;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=40;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
