device_name;PLC_name;url_publisher;ip;port(i)
NRSPK22Pa;PLCRNRPK22P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.13;502
NRSPK22Pb;PLCRNRPK22PB;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.33;502
NRSPK07Pa;PLCNRSPK07Pa;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.41;502
NRSPK07Pb;PLCNRSPK07Pb;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.42;502
NRSKD01cL;PLCRNRKD01cL;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.39;502
NRSKD01dL;PLCRNRKD01dL;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.40;502
PSJS406aP;PLCPSJS406aP;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.105;502
PSJS406bP;PLCPSJS406bP;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.106;502
PSJS486La;PLC2RNR19P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.40;502
PSJS486Lb;PLC3RN319P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.41;502
