device_name;session_uid;PLC_name;url_publisher;ip;port(i);offset_do_switch_on(i);offset_di_switch_on(i);num_polling_out_comm;time_polling_ms;read_permission;write_permission
PDZKD01P;PDZKD01P;PLCMZKD02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.7;502;8193;6;2;10000;monitor;
PDZKD02P;PDZKD02P;PLCMZKD02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.7;502;8193;6;2;10000;monitor;
PDZKD03L;PDZKD03L;PLCRNRKD10L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.10;502;8193;6;2;10000;monitor;
PDZKD04L;PDZKD04L;PLCRNRKD10L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.10;502;8193;6;2;10000;monitor;
PDZDH23P;PDZDH23P;PLCMZDH02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.3.20;502;8193;6;2;10000;monitor;
PDZDH24P;PDZDH24P;PLCMZDH02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.3.20;502;8193;6;2;10000;monitor;
PDZDH21L;PDZDH21L;PLCMZDH02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.3.20;502;8194;7;2;10000;monitor;
PDZDH22L;PDZDH22L;PLCMZDH02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.3.20;502;8194;7;2;10000;monitor;
PDZDH27P;PDZDH27P;PLCMZDH03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.3;502;8194;7;2;10000;monitor;
PDZDH28P;PDZDH28P;PLCMZDH03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.3;502;8194;7;2;10000;monitor;
PDZDH25L;PDZDH25L;PLCMZDH03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.3;502;8193;6;2;10000;monitor;
PDZDH26L;PDZDH26L;PLCMZDH03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.3;502;8193;6;2;10000;monitor;
