device_name;url_publisher;ip;id;endpoint
TVE-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.119;1;'http://172.21.3.119/snap.jpg?JpegCam=1'
TVE-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.134;1;'http://172.21.3.134/snap.jpg?JpegCam=1'
TVI-1-01-GA1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.139;2;'http://172.21.3.139/snap.jpg?JpegCam=2'
TVI-2-01-GA1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.139;1;'http://172.21.3.139/snap.jpg?JpegCam=1'
TVI-1-01-GA2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.126;2;'http://172.21.3.126/snap.jpg?JpegCam=2'
TVI-2-01-GA2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.126;1;'http://172.21.3.126/snap.jpg?JpegCam=1'
TVI-1-01-GA3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.147;2;'http://172.21.3.147/snap.jpg?JpegCam=2'
TVI-2-01-GA3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.147;1;'http://172.21.3.147/snap.jpg?JpegCam=1'
TVI-1-01-GA4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.131;2;'http://172.21.3.131/snap.jpg?JpegCam=2'
TVI-2-01-GA4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.131;1;'http://172.21.3.131/snap.jpg?JpegCam=1'
TVE-1-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.118;1;'http://172.21.3.118/snap.jpg?JpegCam=1'
TVE-2-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.121;1;'http://172.21.3.121/snap.jpg?JpegCam=1'
TVI-1-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.117;1;'http://172.21.3.117/snap.jpg?JpegCam=1'
TVI-1-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.117;2;'http://172.21.3.117/snap.jpg?JpegCam=2'
TVI-2-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.120;1;'http://172.21.3.120/snap.jpg?JpegCam=1'
TVI-2-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.120;2;'http://172.21.3.120/snap.jpg?JpegCam=2'
TVE-1-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.148;1;'http://172.21.3.148/snap.jpg?JpegCam=1'
TVE-2-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.135;1;'http://172.21.3.135/snap.jpg?JpegCam=1'
TVI-1-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.115;1;'http://172.21.3.115/snap.jpg?JpegCam=1'
TVI-1-02-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.115;2;'http://172.21.3.115/snap.jpg?JpegCam=2'
TVI-1-03-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.116;1;'http://172.21.3.116/snap.jpg?JpegCam=1'
TVI-1-04-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.116;2;'http://172.21.3.116/snap.jpg?JpegCam=2'
TVI-2-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.149;1;'http://172.21.3.149/snap.jpg?JpegCam=1'
TVI-2-02-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.149;2;'http://172.21.3.149/snap.jpg?JpegCam=2'
