device_name;url_publisher;ip;id;endpoint;source_name;host;port(i);offset_dai_alarm(i)
TVI-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.122;1;'http://172.21.3.122/snap.jpg?JpegCam=1';ES-02-DP;172.21.41.10;502;21
TVI-1-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.122;2;'http://172.21.3.122/snap.jpg?JpegCam=2';ES-02-DP;172.21.41.10;502;22
TVI-1-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.123;1;'http://172.21.3.123/snap.jpg?JpegCam=1';ES-03-DP;172.21.41.20;502;21
TVI-1-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.123;2;'http://172.21.3.123/snap.jpg?JpegCam=2';ES-03-DP;172.21.41.20;502;22
TVI-1-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.124;1;'http://172.21.3.124/snap.jpg?JpegCam=1';ES-04-DP;172.21.41.30;502;0
TVI-1-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.124;2;'http://172.21.3.124/snap.jpg?JpegCam=2';ES-04-DP;172.21.41.30;502;1
TVI-1-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.125;1;'http://172.21.3.125/snap.jpg?JpegCam=1';ES-05-DP;172.21.41.50;502;21
TVI-1-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.125;2;'http://172.21.3.125/snap.jpg?JpegCam=2';ES-05-DP;172.21.41.50;502;22
TVI-1-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.127;1;'http://172.21.3.127/snap.jpg?JpegCam=1';ES-06-DP;172.21.41.80;502;0
TVI-1-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.127;2;'http://172.21.3.127/snap.jpg?JpegCam=2';ES-06-DP;172.21.41.80;502;1
TVI-1-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.128;1;'http://172.21.3.128/snap.jpg?JpegCam=1';ES-07-DP;172.21.33.10;502;0
TVI-1-12-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.128;2;'http://172.21.3.128/snap.jpg?JpegCam=2';ES-07-DP;172.21.33.10;502;1
TVI-1-13-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.129;1;'http://172.21.3.129/snap.jpg?JpegCam=1';ES-08-DP;172.21.33.20;502;21
TVI-1-14-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.129;2;'http://172.21.3.129/snap.jpg?JpegCam=2';ES-08-DP;172.21.33.20;502;22
TVI-1-15-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.130;1;'http://172.21.3.130/snap.jpg?JpegCam=1';ES-09-DP;172.21.33.50;502;21
TVI-1-16-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.130;2;'http://172.21.3.130/snap.jpg?JpegCam=2';ES-09-DP;172.21.33.50;502;22
TVI-1-17-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.132;1;'http://172.21.3.132/snap.jpg?JpegCam=1';ES-10-DP;172.21.33.70;502;0
TVI-1-18-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.132;2;'http://172.21.3.132/snap.jpg?JpegCam=2';ES-10-DP;172.21.33.70;502;1
TVI-1-19-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.133;1;'http://172.21.3.133/snap.jpg?JpegCam=1';ES-10-B-DP;172.21.33.80;502;0
TVI-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.142;1;'http://172.21.3.142/snap.jpg?JpegCam=1';ES-12-DP;172.21.25.10;502;21
TVI-2-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.142;2;'http://172.21.3.142/snap.jpg?JpegCam=2';ES-12-DP;172.21.25.10;502;22
TVI-2-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.143;1;'http://172.21.3.143/snap.jpg?JpegCam=1';ES-13-DP;172.21.25.20;502;21
TVI-2-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.143;2;'http://172.21.3.143/snap.jpg?JpegCam=2';ES-13-DP;172.21.25.20;502;22
TVI-2-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.144;1;'http://172.21.3.144/snap.jpg?JpegCam=1';ES-14-DP;172.21.25.30;502;0
TVI-2-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.144;2;'http://172.21.3.144/snap.jpg?JpegCam=2';ES-14-DP;172.21.25.30;502;1
TVI-2-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.145;1;'http://172.21.3.145/snap.jpg?JpegCam=1';ES-15-DP;172.21.25.50;502;21
TVI-2-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.3.145;2;'http://172.21.3.145/snap.jpg?JpegCam=2';ES-15-DP;172.21.25.50;502;22
