device_name;url_publisher;ip
PSI-1-01-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.13
PSI-1-03-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.23
PSI-1-04-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.33
PSI-1-05-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.43
PSI-1-06-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.53
PSI-1-07-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.63
PSI-1-08-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.83
PSI-1-10-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.13
PSI-1-12-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.23
PSI-1-13-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.33
PSI-1-14-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.43
PSI-1-15-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.53
PSI-1-16-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.73
PSI-1-18-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.83
PSI-2-01-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.13
PSI-2-03-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.23
PSI-2-04-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.33
PSI-2-05-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.43
PSI-2-07-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.53
PSI-2-08-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.63
PSI-2-09-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.73
PSI-2-10-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.13
PSI-2-12-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.23
PSI-2-13-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.33
PSI-2-14-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.43
PSI-2-15-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.53
PSI-2-16-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.73
PSI-2-18-DP;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.83
PSI-GAL-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.49.63
PSI-GAL-2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.41.73
PSI-GAL-3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.25.83
PSI-GAL-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.33.63
PSI-1-01-CA;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.57.43
PSI-2-01-CA;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.57.73
PSE-1-01-CA;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.57.44
PSE-2-01-CA;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.57.74
PSI-1-01-CZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.17.13
PSI-1-02-CZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.17.23
PSI-1-03-CZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.17.33
PSI-2-01-CZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.17.83
PSE-2-01-CZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.17.84
