device_name;url_publisher;source_name;host;port(i);offset_red_order(i);offset_amber_order(i);offset_green_order(i)
SMF-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;172.21.41.10;502;530;531;532
SMF-1-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;172.21.41.20;502;530;531;532
SMF-1-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;172.21.41.50;502;530;531;532
SMF-1-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;172.21.33.20;502;530;531;532
SMF-1-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;172.21.33.50;502;530;531;532
SMF-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;172.21.25.10;502;530;531;532
SMF-2-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;172.21.25.20;502;530;531;532
SMF-2-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;172.21.25.50;502;530;531;532
SMF-2-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;172.21.49.30;502;530;531;532
SMF-2-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;172.21.49.70;502;530;531;532
SMF-1-01-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;172.21.57.30;502;512;513;514
SMF-1-01-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;172.21.57.30;502;515;516;517
SMF-1-01-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;172.21.57.30;502;518;519;520
SMF-1-02-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;172.21.57.30;502;521;522;523
SMF-1-02-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;172.21.57.30;502;524;525;526
SMF-1-02-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;172.21.57.30;502;527;528;529
SMF-1-04-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;172.21.57.40;502;530;531;532
SMF-2-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;172.21.57.70;502;530;531;532
SMF-2-01-CZ-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CZ;172.21.17.60;502;515;516;517
SMF-2-01-CZ-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CZ;172.21.17.60;502;512;513;514
SMF-2-02-CZ-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CZ;172.21.17.60;502;521;522;523
SMF-2-02-CZ-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CZ;172.21.17.60;502;518;519;520
SMF-2-04-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CZ;172.21.17.80;502;524;525;526
SMF-1-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-01-CZ;172.21.17.10;502;530;531;532
