device_name;url_publisher;source_name;host;port(i);offset_avg_temperature(i);offset_fiber_fault(i);bit_fiber_fault(i);offset_alarm_zone(i);bit_alarm_zone(i)
ZI-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16384;16687;0;16655;0
ZI-1-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16385;16687;1;16655;1
ZI-1-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16386;16687;2;16655;2
ZI-1-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16387;16687;3;16655;3
ZI-1-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16388;16687;4;16655;4
ZI-1-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16389;16687;5;16655;5
ZI-1-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16390;16687;6;16655;6
ZI-1-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16391;16687;7;16655;7
ZI-1-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16392;16687;8;16655;8
ZI-1-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16393;16687;9;16655;9
ZI-1-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16394;16687;10;16655;10
ZI-1-12-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16395;16687;11;16655;11
ZI-1-13-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16396;16687;12;16655;12
ZI-1-14-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16397;16687;13;16655;13
ZI-1-15-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16398;16687;14;16655;14
ZI-1-16-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16399;16687;15;16655;15
ZI-1-17-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16400;16686;0;16654;0
ZI-1-18-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16401;16686;1;16654;1
ZI-1-19-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;172.21.33.96;502;16402;16686;2;16654;2
ZI-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16384;16687;0;16655;0
ZI-2-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16385;16687;1;16655;1
ZI-2-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16386;16687;2;16655;2
ZI-2-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16387;16687;3;16655;3
ZI-2-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16388;16687;4;16655;4
ZI-2-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16389;16687;5;16655;5
ZI-2-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16390;16687;6;16655;6
ZI-2-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16391;16687;7;16655;7
ZI-2-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16392;16687;8;16655;8
ZI-2-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16393;16687;9;16655;9
ZI-2-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;172.21.49.96;502;16394;16687;10;16655;10
