device_name;url_publisher
ILU-NOR-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
ILU-SUR-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
ILU-NOR-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
ILU-SUR-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
ILU-NOR-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
ILU-SUR-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
ILU-NOR-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
ILU-SUR-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-NOR-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-SUR-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-NOR-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-SUR-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-NOR-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-SUR-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-NOR-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
SAI-SUR-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/
