device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-Q27-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;214
INT-K02-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;216
INT-MANI-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;215
INT-CREP-IZQ-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;200
INT-NOC-IZQ-1-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;201
INT-NOC-IZQ-2-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;202
INT-REF-IZQ-1-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;203
INT-REF-IZQ-2-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;204
INT-REF-IZQ-3-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;205
INT-CREP-DER-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;206
INT-REF-DER-1-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;207
INT-REF-DER-2-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;208
INT-REF-DER-3-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;209
INT-EXT-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;210
INT-Q26-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;211
INT-K01-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;213
INT-MANI-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;212
INT-SOL-IZQ-1-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;176
