device_name;url_publisher;source_name;host;port(i);offset_state(i);offset_error(i)
INT-L2-1-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;236;237
INT-L2-2-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;238;239
SEC-L2-2-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;240;241
INT-L2-3-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;242;243
INT-L3-1-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;261;262
INT-L3-2-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;263;264
SEC-L3-2-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;265;266
INT-L3-3-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;267;268
SEC-L3-3-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;269;270
INT-L3-4-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;271;272
INT-L1-1-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;107;108
INT-L1-2-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;110;109
INT-L1-3-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;111;112
SEC-L1-3-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;113;114
INT-L1-4-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;115;116
INT-L1-5-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;119;120
SEC-L1-5-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;121;122
INT-L1-6-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;123;124
SEC-L1-6-CGMT;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;125;126
