device_name;url_publisher;source_name;host;port(i);offset_cross_state(i);offset_arrow_state(i);offset_cross_order(i);offset_arrow_order(i)
AF-2-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;172.21.25.10;502;0;1;512;513
AF-2-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;172.21.25.10;502;2;3;514;515
AF-2-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;172.21.25.10;502;4;5;516;517
AF-2-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;172.21.25.20;502;0;1;512;513
AF-2-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;172.21.25.20;502;2;3;514;515
AF-2-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;172.21.25.20;502;4;5;516;517
AF-2-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;172.21.25.50;502;0;1;512;513
AF-2-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;172.21.25.50;502;2;3;514;515
AF-2-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;172.21.25.50;502;4;5;516;517
AF-2-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;172.21.49.30;502;0;1;512;513
AF-2-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;172.21.49.30;502;2;3;514;515
AF-2-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;172.21.49.30;502;4;5;516;517
AF-2-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;172.21.49.70;502;0;1;512;513
AF-2-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;172.21.49.70;502;2;3;514;515
AF-2-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;172.21.49.70;502;4;5;516;517
AF-1-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;172.21.41.10;502;0;1;512;513
AF-1-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;172.21.41.10;502;2;3;514;515
AF-1-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;172.21.41.10;502;4;5;516;517
AF-1-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;172.21.41.20;502;0;1;512;513
AF-1-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;172.21.41.20;502;2;3;514;515
AF-1-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;172.21.41.20;502;4;5;516;517
AF-1-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;172.21.41.50;502;0;1;512;513
AF-1-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;172.21.41.50;502;2;3;514;515
AF-1-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;172.21.41.50;502;4;5;516;517
AF-1-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;172.21.49.20;502;0;1;512;513
AF-1-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;172.21.49.20;502;2;3;514;515
AF-1-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;172.21.49.20;502;4;5;516;517
AF-1-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;172.21.33.50;502;0;1;512;513
AF-1-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;172.21.33.50;502;2;3;514;515
AF-1-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;172.21.33.50;502;4;5;516;517
