device_name;url_publisher;source_name;host;port(i);offset_bit_A_state(i);offset_bit_B_state(i);offset_bit_C_state(i);offset_bit_D_state(i);offset_bit_A_order(i);offset_bit_B_order(i);offset_bit_C_order(i);offset_bit_D_order(i)
SV-1-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;172.21.41.10;502;6;7;8;9;518;519;520;521
SV-1-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;172.21.41.10;502;10;11;12;13;522;523;524;525
SV-1-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;172.21.41.10;502;14;15;16;17;526;527;528;529
SV-1-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;172.21.41.20;502;6;7;8;9;518;519;520;521
SV-1-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;172.21.41.20;502;10;11;12;13;522;523;524;525
SV-1-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;172.21.41.20;502;14;15;16;17;526;527;528;529
SV-1-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;172.21.41.50;502;6;7;8;9;518;519;520;521
SV-1-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;172.21.41.50;502;10;11;12;13;522;523;524;525
SV-1-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;172.21.41.50;502;14;15;16;17;526;527;528;529
SV-1-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;172.21.33.20;502;6;7;8;9;518;519;520;521
SV-1-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;172.21.33.20;502;10;11;12;13;522;523;524;525
SV-1-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;172.21.33.20;502;14;15;16;17;526;527;528;529
SV-1-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;172.21.33.50;502;6;7;8;9;518;519;520;521
SV-1-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;172.21.33.50;502;10;11;12;13;522;523;524;525
SV-1-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;172.21.33.50;502;14;15;16;17;526;527;528;529
SV-2-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;172.21.25.10;502;6;7;8;9;518;519;520;521
SV-2-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;172.21.25.10;502;10;11;12;13;522;523;524;525
SV-2-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;172.21.25.10;502;14;15;16;17;526;527;528;529
SV-2-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;172.21.25.20;502;6;7;8;9;518;519;520;521
SV-2-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;172.21.25.20;502;10;11;12;13;522;523;524;525
SV-2-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;172.21.25.20;502;14;15;16;17;526;527;528;529
SV-2-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;172.21.25.50;502;6;7;8;9;518;519;520;521
SV-2-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;172.21.25.50;502;10;11;12;13;522;523;524;525
SV-2-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;172.21.25.50;502;14;15;16;17;526;527;528;529
SV-2-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;172.21.49.30;502;6;7;8;9;518;519;520;521
SV-2-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;172.21.49.30;502;10;11;12;13;522;523;524;525
SV-2-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;172.21.49.30;502;14;15;16;17;526;527;528;529
SV-2-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;172.21.49.70;502;6;7;8;9;518;519;520;521
SV-2-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;172.21.49.70;502;10;11;12;13;522;523;524;525
SV-2-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;172.21.49.70;502;14;15;16;17;526;527;528;529
SV-1-01-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;172.21.57.40;502;6;7;8;9;518;519;520;521
SV-1-01-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;172.21.57.40;502;10;11;12;13;522;523;524;525
SV-1-01-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;172.21.57.40;502;14;15;16;17;526;527;528;529
SV-2-01-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;172.21.57.70;502;6;7;8;9;518;519;520;521
SV-2-01-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;172.21.57.70;502;10;11;12;13;522;523;524;525
SV-2-01-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;172.21.57.70;502;14;15;16;17;526;527;528;529
SV-1-01-CZ-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-01-CZ;172.21.17.10;502;6;7;8;9;518;519;520;521
SV-1-01-CZ-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-01-CZ;172.21.17.10;502;10;11;12;13;522;523;524;525
