device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_bar_state(i);offset_bar_cmd(i);offset_alarm_fail(i)
RV-BAR-1CA;RV-BAR-1CA;RV-PLCE-1CA;192.168.88.189;1502;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
RV-BAR-2CA;RV-BAR-2CA;RV-PLCE-1CA;192.168.88.189;1502;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
RV-BAR-1MA;RV-BAR-1MA;RV-PLCSI-1MA;192.168.88.189;1503;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
RV-BAR-2MA;RV-BAR-2MA;RV-PLCSI-1MA;192.168.88.189;1503;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
MM-BAR-1CA;MM-BAR-1CA;MM-PLCE-CA;192.168.88.189;1504;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
MM-BAR-2CA;MM-BAR-2CA;MM-PLCE-CA;192.168.88.189;1504;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
MM-BAR-1MA;MM-BAR-1MA;MM-PLCL-1;192.168.88.189;1505;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
MM-BAR-2MA;MM-BAR-2MA;MM-PLCL-1;192.168.88.189;1505;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
STMI-BAR-1MA;STMI-BAR-1MA;STMI-PLCL-1;192.168.88.189;1506;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
STMI-BAR-2MA;STMI-BAR-2MA;STMI-PLCL-1;192.168.88.189;1506;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
STMI-BAR-1CA;STMI-BAR-1CA;STMI-PLCE-1CA;192.168.88.189;1507;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
STMI-BAR-2CA;STMI-BAR-2CA;STMI-PLCE-1CA;192.168.88.189;1507;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
LQ-BAR-1CA;LQ-BAR-1CA;LQ-PLC-1CA;192.168.88.189;1155;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
LQ-BAR-2CA;LQ-BAR-2CA;LQ-PLC-1CA;192.168.88.189;1155;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
LQ-BAR-1MA;LQ-BAR-1MA;LQ-PLC-1MA;192.168.88.189;1156;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
LQ-BAR-2MA;LQ-BAR-2MA;LQ-PLC-1MA;192.168.88.189;1156;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
CH-BAR-1CA;CH-BAR-1CA;CH-PLCE-1CA;192.168.88.189;1160;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
CH-BAR-2CA;CH-BAR-2CA;CH-PLCE-1CA;192.168.88.189;1160;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
CH-BAR-1MA;CH-BAR-1MA;CH-PLCE-1MA ;192.168.88.189;1158;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
CH-BAR-2MA;CH-BAR-2MA;CH-PLCE-1MA ;192.168.88.189;1158;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
CAS-BAR-1CA;CAS-BAR-1CA;CAS-PLCL-BM;192.168.88.189;1512;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
CAS-BAR-2CA;CAS-BAR-2CA;CAS-PLCL-BM;192.168.88.189;1512;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
CAS-BAR-1MA;CAS-BAR-1MA;CAS-PLCL-BC;192.168.88.189;1513;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
CAS-BAR-2MA;CAS-BAR-2MA;CAS-PLCL-BC;192.168.88.189;1513;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
COR-BAR-1CA;COR-BAR-1CA;COR-PLCL-BM;192.168.88.189;1160;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
COR-BAR-2CA;COR-BAR-2CA;COR-PLCL-BM;192.168.88.189;1160;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
COR-BAR-1MA;COR-BAR-1MA;COR-PLCL-BC;192.168.88.189;1160;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;258;12288;260
COR-BAR-2MA;COR-BAR-2MA;COR-PLCL-BC;192.168.88.189;1160;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;259;12288;261
