device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command
RV-TV-1CA;RV-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
RV-TV-2CA;RV-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
RV-TV-3CA;RV-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
RV-TV-4CA;RV-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
RV-TV-1MA;RV-TV-1MA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
RV-TV-2MA;RV-TV-2MA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
RV-TV-3MA;RV-TV-3MA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
RV-TV-4MA;RV-TV-4MA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
MM-TV-1CA;MM-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
MM-TV-2CA;MM-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
