device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_dali_cmd(i);offset_commstatus(i)
STMI-DALI-DER-1CA-G0;STMI-DALI-DER-1CA-G0;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18500;300
STMI-DALI-DER-1CA-G1;STMI-DALI-DER-1CA-G1;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18501;301
STMI-DALI-IZQ-1CA-G0;STMI-DALI-IZQ-1CA-G0;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18502;302
STMI-DALI-IZQ-1CA-G1;STMI-DALI-IZQ-1CA-G1;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18503;303
STMI-DALI-DER-1MA-G0;STMI-DALI-DER-1MA-G0;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18504;304
STMI-DALI-DER-1MA-G1;STMI-DALI-DER-1MA-G1;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18505;305
STMI-DALI-IZQ-1MA-G0;STMI-DALI-IZQ-1MA-G0;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18506;306
STMI-DALI-IZQ-1MA-G1;STMI-DALI-IZQ-1MA-G1;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18507;307
MM-DALI-IZQ-3MA-G0;MM-DALI-IZQ-3MA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18500;300
MM-DALI-IZQ-3MA-G1;MM-DALI-IZQ-3MA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18501;301
MM-DALI-IZQ-1CA-G0;MM-DALI-IZQ-1CA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18502;302
MM-DALI-IZQ-1CA-G1;MM-DALI-IZQ-1CA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18503;303
MM-DALI-DER-1CA-G0;MM-DALI-DER-1CA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18504;304
MM-DALI-DER-1CA-G1;MM-DALI-DER-1CA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18505;305
MM-DALI-DER-2CA-G0;MM-DALI-DER-2CA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18506;306
MM-DALI-DER-2CA-G1;MM-DALI-DER-2CA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18507;307
MM-DALI-DER-3CA-G0;MM-DALI-DER-3CA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18508;308
MM-DALI-DER-3CA-G1;MM-DALI-DER-3CA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18509;309
MM-DALI-IZQ-2CA-G0;MM-DALI-IZQ-2CA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18510;310
MM-DALI-IZQ-2CA-G1;MM-DALI-IZQ-2CA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18511;311
MM-DALI-IZQ-2MA-G0;MM-DALI-IZQ-2MA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18512;312
MM-DALI-IZQ-2MA-G1;MM-DALI-IZQ-2MA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18513;313
MM-DALI-IZQ-3CA-G0;MM-DALI-IZQ-3CA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18514;314
MM-DALI-IZQ-3CA-G1;MM-DALI-IZQ-3CA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18515;315
MM-DALI-IZQ-1MA-G0;MM-DALI-IZQ-1MA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18516;316
MM-DALI-IZQ-1MA-G1;MM-DALI-IZQ-1MA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18517;317
MM-DALI-DER-1MA-G0;MM-DALI-DER-1MA-G0;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18518;318
MM-DALI-DER-1MA-G1;MM-DALI-DER-1MA-G1;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18519;319
