device_name;deteccion_lazo;host;port(i);url_publisher;session_uid;bit_alarm(i);offset_alarm(i);bit_fail(i);offset_fail(i)
RV-CT-ITS-HUM-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-ITS-HUM-1;0;1002;3;1002
RV-CT-ITS-HUM-2;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-ITS-HUM-2;8;1003;11;1003
RV-CT-CGBT-HUM-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-CGBT-HUM-1;8;1002;11;1002
RV-CT-CGBT-HUM-2;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-CGBT-HUM-2;0;1003;3;1003
RV-CT-PCI-HUM-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-PCI-HUM-1;0;1004;3;1004
RV-CT-PCI-HUM-2;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-PCI-HUM-2;0;1004;3;1004
RV-CT-ITS-PULS-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-ITS-PULS-1;0;1006;3;1006
RV-CT-CGBT-PULS-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-CGBT-PULS-1;8;1005;11;1005
RV-CT-PCI-PULS-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-PCI-PULS-1;0;1005;3;1005
RV-CT-CGBT-SIR-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-CGBT-SIR-1;8;1001;11;1001
RV-CT-PCI-SIR-1;RV-PE-1;192.168.88.199;999;http://192.168.88.118:3000/api/v2/generic/;RV-CT-PCI-SIR-1;0;1001;3;1001
MM-CT-ITS-HUM-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-ITS-HUM-1;0;1002;3;1002
MM-CT-ITS-HUM-2;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-ITS-HUM-2;8;1003;11;1003
MM-CT-CGBT-HUM-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-CGBT-HUM-1;8;1002;11;1002
MM-CT-CGBT-HUM-2;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-CGBT-HUM-2;0;1003;3;1003
MM-CT-PCI-HUM-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-PCI-HUM-1;0;1004;3;1004
MM-CT-PCI-HUM-2;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-PCI-HUM-2;0;1004;3;1004
MM-CT-ITS-PULS-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-ITS-PULS-1;0;1006;3;1006
MM-CT-CGBT-PULS-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-CGBT-PULS-1;8;1005;11;1005
MM-CT-PCI-PULS-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-PCI-PULS-1;0;1005;3;1005
MM-CT-CGBT-SIR-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-CGBT-SIR-1;8;1001;11;1001
MM-CT-PCI-SIR-1;MM-PE-1;192.168.88.199;1000;http://192.168.88.118:3000/api/v2/generic/;MM-CT-PCI-SIR-1;0;1001;3;1001
STMI-CT-ITS-PULS-1;STMI-PE-1;192.168.88.199;1001;http://192.168.88.118:3000/api/v2/generic/;STMI-CT-ITS-PULS-1;0;1001;3;1001
STMI-CT-ITS-HUM-1;STMI-PE-1;192.168.88.199;1001;http://192.168.88.118:3000/api/v2/generic/;STMI-CT-ITS-HUM-1;8;1001;11;1001
STMI-CT-ITS-HUM-2;STMI-PE-1;192.168.88.199;1001;http://192.168.88.118:3000/api/v2/generic/;STMI-CT-ITS-HUM-2;0;1002;3;1002
STMI-CT-CGBT-HUM-1;STMI-PE-1;192.168.88.199;1001;http://192.168.88.118:3000/api/v2/generic/;STMI-CT-CGBT-HUM-1;8;1002;11;1002
STMI-CT-CGBT-HUM-2;STMI-PE-1;192.168.88.199;1001;http://192.168.88.118:3000/api/v2/generic/;STMI-CT-CGBT-HUM-2;0;1003;3;1003
STMI-CT-CGBT-SIR-1;STMI-PE-1;192.168.88.199;1001;http://192.168.88.118:3000/api/v2/generic/;STMI-CT-CGBT-SIR-1;8;1003;11;1003
STMI-CT-CGBT-PULS-1;STMI-PE-1;192.168.88.199;1001;http://192.168.88.118:3000/api/v2/generic/;STMI-CT-CGBT-PULS-1;0;1004;3;1004
