device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_alarm_zone(i);offset_fiber_fault(i);offset_avg_temperature(i);offset_max_temperature(i);offset_min_temperature(i);offset_commstatus(i)
RV-ZI-1CA;RV-ZI-1CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1000;1005;1010;1010;1010;1200
RV-ZI-2CA;RV-ZI-2CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1001;1006;1012;1012;1012;1201
RV-ZI-3CA;RV-ZI-3CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1002;1007;1014;1014;1014;1202
RV-ZI-4CA;RV-ZI-4CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1003;1008;1016;1016;1016;1203
RV-ZI-5CA;RV-ZI-5CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1004;1009;1018;1018;1018;1204
RV-ZI-1MA;RV-ZI-1MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1020;1025;1030;1030;1030;1225
RV-ZI-2MA;RV-ZI-2MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1021;1026;1032;1032;1032;1226
RV-ZI-3MA;RV-ZI-3MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1022;1027;1034;1034;1034;1227
RV-ZI-4MA;RV-ZI-4MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1023;1028;1036;1036;1036;1228
RV-ZI-5MA;RV-ZI-5MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1024;1029;1038;1038;1038;1229
MM-ZI-8CA;MM-ZI-8CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1000;1008;1016;1016;1016;1200
MM-ZI-7CA;MM-ZI-7CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1001;1009;1018;1018;1018;1201
MM-ZI-6CA;MM-ZI-6CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1002;1010;1020;1020;1020;1202
MM-ZI-5CA;MM-ZI-5CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1003;1011;1022;1022;1022;1203
MM-ZI-4CA;MM-ZI-4CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1004;1012;1024;1024;1024;1204
MM-ZI-3CA;MM-ZI-3CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1005;1013;1026;1026;1026;1205
MM-ZI-2CA;MM-ZI-2CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1006;1014;1028;1028;1028;1206
MM-ZI-1CA;MM-ZI-1CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1007;1015;1030;1030;1030;1207
MM-ZI-1MA;MM-ZI-1MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1032;1040;1048;1048;1048;1208
MM-ZI-2MA;MM-ZI-2MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1033;1041;1050;1050;1050;1209
MM-ZI-3MA;MM-ZI-3MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1034;1042;1052;1052;1052;1210
MM-ZI-4MA;MM-ZI-4MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1035;1043;1054;1054;1054;1211
MM-ZI-5MA;MM-ZI-5MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1036;1044;1056;1056;1056;1212
MM-ZI-6MA;MM-ZI-6MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1037;1045;1058;1058;1058;1213
