device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
RV-LUX-1CA;RV-LUX-1CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16686;743;15500;143
RV-LUX-2CA;RV-LUX-2CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16616;708;15500;108
RV-LUX-3CA;RV-LUX-3CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16618;709;15500;109
RV-LUX-4CA;RV-LUX-4CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16694;747;15500;147
RV-LUX-1MA;RV-LUX-1MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16692;746;15501;146
RV-LUX-2MA;RV-LUX-2MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16656;728;15501;128
RV-LUX-3MA;RV-LUX-3MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16658;729;15501;129
RV-LUX-4MA;RV-LUX-4MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16688;744;15501;144
MM-LUX-1CA;MM-LUX-1CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16734;767;15500;167
MM-LUX-2CA;MM-LUX-2CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16608;704;15500;104
MM-LUX-3CA;MM-LUX-3CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16610;705;15500;105
MM-LUX-4CA;MM-LUX-4CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16624;712;15501;112
MM-LUX-1MA;MM-LUX-1MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16672;736;15503;136
MM-LUX-2MA;MM-LUX-2MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16674;737;15503;137
MM-LUX-3MA;MM-LUX-3MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16676;738;15503;138
MM-LUX-4MA;MM-LUX-4MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16716;758;15504;158
LQ-LUX-1CA;LQ-LUX-1CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16722;761;15516;161
LQ-LUX-2CA;LQ-LUX-2CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16724;762;15516;162
LQ-LUX-3CA;LQ-LUX-3CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16726;763;15516;163
