device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_sem_state(i);offset_status(i)
RV-SMF-AA-1CA;RV-SMF-AA-1CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25005;302
RV-SMF-AA-1MA;RV-SMF-AA-1MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;305
MM-SMF-AA-1CA;MM-SMF-AA-1CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25005;302
MM-SMF-AA-1MA;MM-SMF-AA-1MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;305
LQ-SMF-AA-1MA;LQ-SMF-AA-1MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;305
LQ-SMF-AA-2MA;LQ-SMF-AA-2MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;305
LQ-SMF-AA-1CA;LQ-SMF-AA-1CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25005;302
CH-SEM-AA-1-SM;CH-SEM-AA-1-SM;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;305
CH-SEM-AA-2-SM;CH-SEM-AA-2-SM;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;305
CH-SEM-AA-SC;CH-SEM-AA-SC;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25005;302
CAS-SEM-AA-CA;CAS-SEM-AA-CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;404
CAS-SEM-AA-MA;CAS-SEM-AA-MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25013;409
COR-SEM-AA-1CA;COR-SEM-AA-1CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25007;403
COR-SEM-AA-1MA;COR-SEM-AA-1MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25011;407
