device_name;session_uid;url_publisher;host;PLC_name;PLC_host;PLC_port(i);offset_door_open(i);read_permission;write_permission
RV-SOSE-1CA;RV-SOSE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;RV-CTITS;192.168.88.199;1037;7;monitor;
RV-SOSE-2CA;RV-SOSE-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;RV-Rack-Exterior;192.168.88.199;1036;5;monitor;
RV-SOSE-1MA;RV-SOSE-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;RV-Rack-Exterior;192.168.88.199;1036;4;monitor;
RV-SOSE-2MA;RV-SOSE-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;RV-CTITS;192.168.88.199;1037;6;monitor;
MM-SOSE-1CA;MM-SOSE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;MM-Rack-Exterior;192.168.88.199;1136;5;monitor;
MM-SOSE-2CA;MM-SOSE-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;MM-CTITS;192.168.88.199;1145;7;monitor;
MM-SOSE-1MA;MM-SOSE-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;MM-CTITS;192.168.88.199;1145;6;monitor;
MM-SOSE-2MA;MM-SOSE-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;MM-Rack-Exterior;192.168.88.199;1136;4;monitor;
STMI-SOSE-1MA;STMI-SOSE-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;STMI-CTITS;192.168.88.199;1151;8;monitor;
STMI-SOSE-2CA;STMI-SOSE-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;STMI-CTITS;192.168.88.199;1151;7;monitor;
STMI-SOSE-1CA;STMI-SOSE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;STMI-Rack-M;192.168.88.199;1147;4;monitor;
STMI-SOSE-2MA;STMI-SOSE-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;STMI-Rack-M;192.168.88.199;1147;5;monitor;
LQ-SOSE-1MA;LQ-SOSE-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;LQ-Rack-Exterior-BC;192.168.88.199;1153;5;monitor;
LQ-SOSE-2MA;LQ-SOSE-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;LQ-Rack-Exterior-BC;192.168.88.199;1154;5;monitor;
LQ-SOSE-1CA;LQ-SOSE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;LQ-Rack-Exterior-BM;192.168.88.199;1155;4;monitor;
LQ-SOSE-2CA;LQ-SOSE-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;LQ-Rack-Exterior-BM;192.168.88.199;1156;4;monitor;
CH-SOSE-1CA;CH-SOSE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;CH-PLCE-1MA;192.168.88.199;1157;4;monitor;
CH-SOSE-2MA;CH-SOSE-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;CH-PLCE-1MA;192.168.88.199;1158;5;monitor;
CH-SOSE-2CA;CH-SOSE-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;CH-PLC-1CA;192.168.88.199;1159;4;monitor;
CH-SOSE-1MA;CH-SOSE-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;CH-PLC-1CA;192.168.88.199;1160;5;monitor;
COR-SOSE-1MA;COR-SOSE-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;COR-PLCL-BC;192.168.88.199;1160;6;monitor;
COR-SOSE-2MA;COR-SOSE-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;COR-PLCL-BM ;192.168.88.199;1160;7;monitor;
COR-SOSE-1CA;COR-SOSE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;COR-PLCL-BM ;192.168.88.199;1160;6;monitor;
COR-SOSE-2CA;COR-SOSE-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.199;COR-PLCL-BC;192.168.88.199;1160;7;monitor;
