device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
RV-SWL;RV-SWL;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
RV-SWS-1CA;RV-SWS-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
RV-SWS-1MA;RV-SWS-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
RV-SWE-CA;RV-SWE-CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWL;MM-SWL;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWS-1CA;MM-SWS-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWS-2CA;MM-SWS-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWS-3CA;MM-SWS-3CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWG-CA;MM-SWG-CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWE-CA;MM-SWE-CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWS-1MA;MM-SWS-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWS-2MA;MM-SWS-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
MM-SWS-3MA;MM-SWS-3MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
STMI-SWL;STMI-SWL;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
STMI-SWS-1CA;STMI-SWS-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
STMI-SWS-1MA;STMI-SWS-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
STMI-SWE-CA;STMI-SWE-CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.251'
