device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_state(i)
RV-VC-1MA;RV-VC-1MA;RV-Rack-Exterior;192.168.88.199;1036;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;6
RV-VM-1MA;RV-VM-1MA;RV-Rack-Exterior;192.168.88.199;1036;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;7
RV-VC-1CA;RV-VC-1CA;RV-Rack-Exterior;192.168.88.199;1036;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;8
RV-VM-1CA;RV-VM-1CA;RV-Rack-Exterior;192.168.88.199;1036;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;9
RV-VC-2MA;RV-VC-2MA;RV-CTITS;192.168.88.199;1037;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16
RV-VM-2MA;RV-VM-2MA;RV-CTITS;192.168.88.199;1037;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;17
RV-VC-2CA;RV-VC-2CA;RV-CTITS;192.168.88.199;1037;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;18
RV-VM-2CA;RV-VM-2CA;RV-CTITS;192.168.88.199;1037;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VC-1MA;MM-VC-1MA;MM-Rack-Exterior;192.168.88.199;1136;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-1MA;MM-VM-1MA;MM-Rack-Exterior;192.168.88.199;1136;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VC-2CA;MM-VC-2CA;MM-Rack-Exterior;192.168.88.199;1136;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-2CA;MM-VM-2CA;MM-SOS-C2;192.168.88.199;1143;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VC-2MA;MM-VC-2MA;MM-CTITS;192.168.88.199;1145;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-2MA;MM-VM-2MA;MM-SOS-M2;192.168.88.199;1140;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VC-1CA;MM-VC-1CA;MM-CTITS;192.168.88.199;1145;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-1CA;MM-VM-1CA;MM-CTITS;192.168.88.199;1145;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-3CA;MM-VM-3CA;MM-SOS-C2;192.168.88.199;1143;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-4CA;MM-VM-4CA;MM-Rack-Exterior;192.168.88.199;1136;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-3MA;MM-VM-3MA;MM-SOS-M2;192.168.88.199;1140;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
MM-VM-4MA;MM-VM-4MA;MM-CTITS;192.168.88.199;1145;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;19
