device_name;session_uid;host;port(i);url_publisher;offset(i)
ICEO-BAR-001;ICEO-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;400
ICEP-BAR-001;ICEP-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;401
IVEN-BAR-001;IVEN-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;402
S1TS-BAR-001;S1TS-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;403
S1TS-BAR-002;S1TS-BAR-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;404
INKP-BAR-001;INKP-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;405
IVIP-BAR-001;IVIP-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;406
IPRO-BAR-001;IPRO-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;407
ICCO-BAR-001;ICCO-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;408
ICCP-BAR-001;ICCP-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;409
IBTO-BAR-001;IBTO-BAR-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;410
