device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i)
UF-2E22-CAB-001;UF-2E22-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22001
UF-2E22-CAB-002;UF-2E22-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22007
UF-S2TN-CAB-011;UF-S2TN-CAB-011;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22013
UF-S2TS-CAB-039;UF-S2TS-CAB-039;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22019
2E22-ELE-002.PEVPres;2E22-ELE-002.PEVPres;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22025
2E22-ELE-002.PEVPresb;2E22-ELE-002.PEVPresb;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22031
UF-2E23-CAB-001;UF-2E23-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22037
UF-2E23-CAB-002;UF-2E23-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22043
UF-S2TS-CAB-040;UF-S2TS-CAB-040;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22049
2E23-ELE-002.PEVPres;2E23-ELE-002.PEVPres;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22055
2E23-ELE-002.PEVPresb;2E23-ELE-002.PEVPresb;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22061
UF-2E24-CAB-001;UF-2E24-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22067
UF-2E24-CAB-002;UF-2E24-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22073
UF-ICCP-CAB-001;UF-ICCP-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22079
UF-ICCP-CAB-002;UF-ICCP-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22085
UF-ICCP-CAB-003;UF-ICCP-CAB-003;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22091
UF-S2TN-CAB-009;UF-S2TN-CAB-009;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22097
UF-S2TN-CAB-010;UF-S2TN-CAB-010;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22103
UF-S2TS-CAB-041;UF-S2TS-CAB-041;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22109
CC.35 ;CC.35 ;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22115
2E24-ELE-002.PEVPres;2E24-ELE-002.PEVPres;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22121
2E24-ELE-002.PEVPresb;2E24-ELE-002.PEVPresb;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22127
UF-2E25-CAB-001;UF-2E25-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22133
UF-2E25-CAB-002;UF-2E25-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22139
UF-S2TN-CAB-007;UF-S2TN-CAB-007;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22145
UF-S2TN-CAB-008;UF-S2TN-CAB-008;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22151
UF-S2TS-CAB-042;UF-S2TS-CAB-042;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22157
UF-S2TS-CAB-043;UF-S2TS-CAB-043;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22163
2E25-ELE-002.PEVPres;2E25-ELE-002.PEVPres;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22169
