device_name;session_uid;url_publisher
S1TS-PMV-001;S1TS-PMV-001;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S1TS-PMV-002;S1TS-PMV-002;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S1TS-PMV-003;S1TS-PMV-003;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S1TS-PMV-004;S1TS-PMV-004;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
INKP-PMV-001;INKP-PMV-001;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
ICCO-PMV-001;ICCO-PMV-001;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TS-PMV-004;S2TS-PMV-004;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TN-PMV-001;S2TN-PMV-001;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TS-PMV-005;S2TS-PMV-005;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TS-PMV-006;S2TS-PMV-006;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TN-PMV-006;S2TN-PMV-006;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TN-PMV-005;S2TN-PMV-005;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TN-PMV-004;S2TN-PMV-004;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TN-PMV-003;S2TN-PMV-003;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TN-PMV-002;S2TN-PMV-002;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TS-PMV-003;S2TS-PMV-003;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
ICNP-PMV-002;ICNP-PMV-002;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TS-PMV-001;S2TS-PMV-001;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TS-PMV-002;S2TS-PMV-002;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
S2TS-PMV-007;S2TS-PMV-007;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/
