device_name;session_uid;host;port(i);url_publisher;offset(i)
ICEO-SEM-001;ICEO-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;420
ICEP-SEM-001;ICEP-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;421
IVEN-SEM-001;IVEN-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;422
S1TS-SEM-001;S1TS-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;423
S1TS-SEM-002;S1TS-SEM-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;424
S1TS-SEM-003;S1TS-SEM-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;425
INKP-SEM-002;INKP-SEM-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;426
IVIP-SEM-001;IVIP-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;427
IPRO-SEM-001;IPRO-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;428
ICCO-SEM-001;ICCO-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;429
ICCP-SEM-001;ICCP-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;430
IBTO-SEM-001;IBTO-SEM-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;431
