device_name;session_uid;endpoint;url_publisher;time_polling_ms;num_polling_out_comm;analizador;ip;port(i);offset_live(i);read_permission;write_permission
KDDH01.1;KDDH01.1;'http:\/\/172.17.102.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;101;monitor;
KDDH02.1;KDDH02.1;'http:\/\/172.17.102.9/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;111;monitor;
KDDH03.1;KDDH03.1;'http:\/\/172.17.103.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;121;monitor;
KDDH05.1;KDDH05.1;'http:\/\/172.17.103.12/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;131;monitor;
KDDH06.1;KDDH06.1;'http:\/\/172.17.103.13/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;141;monitor;
KDDH10.1;KDDH10.1;'http:\/\/172.17.103.14/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;151;monitor;
KDDH11.1;KDDH11.1;'http:\/\/172.17.103.15/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;161;monitor;
KDDH12.1;KDDH12.1;'http:\/\/172.17.104.10/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;171;monitor;
KDDH14.1;KDDH14.1;'http:\/\/172.17.104.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;181;monitor;
KDDH15.1;KDDH15.1;'http:\/\/172.17.104.12/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;191;monitor;
KDJS07.1;KDJS07.1;'http:\/\/172.17.108.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;1;monitor;
KDJS08.1;KDJS08.1;'http:\/\/172.17.108.7/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;51;monitor;
KDJS22.1;KDJS22.1;'http:\/\/172.17.110.25/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;11;monitor;
KDJS25.1;KDJS25.1;'http:\/\/172.17.111.9/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;61;monitor;
KDJS26.1;KDJS26.1;'http:\/\/172.17.111.10/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;71;monitor;
KDJS27.1;KDJS27.1;'http:\/\/172.17.111.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;81;monitor;
KDJS36.1;KDJS36.1;'http:\/\/172.17.112.7/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;91;monitor;
KDJS37.1;KDJS37.1;'http:\/\/172.17.112.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;101;monitor;
KDJS43.1;KDJS43.1;'http:\/\/172.17.113.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;111;monitor;
KDJS49.1;KDJS49.1;'http:\/\/172.17.114.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;121;monitor;
KDJS50.2;KDJS50.2;'http:\/\/172.17.115.6/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;131;monitor;
KDJS52.1;KDJS52.1;'http:\/\/172.17.115.7/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;141;monitor;
KDJS53.1;KDJS53.1;'http:\/\/172.17.115.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;151;monitor;
KDJS54.1;KDJS54.1;'http:\/\/172.17.115.9/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;161;monitor;
KDJS55.1;KDJS55.1;'http:\/\/172.17.116.16/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;171;monitor;
