device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
RASDKD01P;RASDKD01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDKD01P;502;monitor;;0;1;2;3
RASDDH01P;RASDDH01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDDH01P;502;monitor;;0;1;2;3
RASDDH02P;RASDDH02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDDH02P;502;monitor;;0;1;2;3
RASDJS03P;RASDJS03P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDJS03P;502;monitor;;0;1;2;3
RASDJS04P;RASDJS04P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDJS04P;502;monitor;;0;1;2;3
RASDJS05P;RASDJS05P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDJS05P;502;monitor;;0;1;2;3
RASDJS06P;RASDJS06P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDJS06P;502;monitor;;0;1;2;3
RASDJS07L;RASDJS07L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDJS07L;502;monitor;;0;1;2;3
RASDJS01P;RASDJS01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDJS01P;502;monitor;;0;1;2;3
RASDJS02P;RASDJS02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDJS02P;502;monitor;;0;1;2;3
RASDSR01P;RASDSR01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDSR01P;502;monitor;;0;1;2;3
RASDSR02P;RASDSR02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDSR02P;502;monitor;;0;1;2;3
RASDPK01L;RASDPK01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDPK01L;502;monitor;;0;1;2;3
RASDPK02L;RASDPK02L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRASDPK02L;502;monitor;;0;1;2;3
