device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open(i);power_supply_offset(i);batery_low_offset(i)
RAIDJSKD01;RAIDJSKD01;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD01;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD02;RAIDJSKD02;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD02;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD03;RAIDJSKD03;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD03;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD04;RAIDJSKD04;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD04;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD05;RAIDJSKD05;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD05;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD06;RAIDJSKD06;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD06;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD07;RAIDJSKD07;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD07;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD08;RAIDJSKD08;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD08;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD09;RAIDJSKD09;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD09;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD10;RAIDJSKD10;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD10;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD11;RAIDJSKD11;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD11;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD12;RAIDJSKD12;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD12;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD13;RAIDJSKD13;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD13;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD14;RAIDJSKD14;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD14;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD15;RAIDJSKD15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD15;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD16;RAIDJSKD16;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD16;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD17;RAIDJSKD17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD17;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD18;RAIDJSKD18;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD18;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD19;RAIDJSKD19;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD19;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD20;RAIDJSKD20;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD20;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD21;RAIDJSKD21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD21;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD22;RAIDJSKD22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD22;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD23;RAIDJSKD23;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD23;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD24;RAIDJSKD24;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD24;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD25;RAIDJSKD25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD25;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD26;RAIDJSKD26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD26;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD27;RAIDJSKD27;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD27;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD28;RAIDJSKD28;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD28;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD29;RAIDJSKD29;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD29;192.168.88.189;502;monitor;;0;1;2
RAIDJSKD30;RAIDJSKD30;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD30;192.168.88.189;502;monitor;;0;1;2
