device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
RNRKD05L;RNRKD05L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRKD05L;502;monitor;;8;9;10;11
RNRKD07L;RNRKD07L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRKD07L;502;monitor;;8;9;10;11
RPDZDH02L;RPDZDH02L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZDH02L;502;monitor;;8;9;10;11
RPDZDH03L;RPDZDH03L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZDH03L;502;monitor;;8;9;10;11
RPDZDH04L;RPDZDH04L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZDH04L;502;monitor;;8;9;10;11
RPDZDH06P;RPDZDH06P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZDH06P;502;monitor;;8;9;10;11
RPDZDH08L;RPDZDH08L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZDH08L;502;monitor;;8;9;10;11
RPDZDH09L;RPDZDH09L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZDH09L;502;monitor;;8;9;10;11
RPDZDH10L;RPDZDH10L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZDH10L;502;monitor;;8;9;10;11
RNRJS21P;RNRJS21P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRJS21P;502;monitor;;8;9;10;11
RPDZJS01P;RPDZJS01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZJS01P;502;monitor;;8;9;10;11
RPDZJS02P;RPDZJS02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZJS02P;502;monitor;;8;9;10;11
RPDZJS03P;RPDZJS03P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZJS03P;502;monitor;;8;9;10;11
RNRSPSJS489L;RNRSPSJS489L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRSPSJS489L;502;monitor;;8;9;10;11
RPDZJS05L;RPDZJS05L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZJS05L;502;monitor;;8;9;10;11
RPDZJS06L;RPDZJS06L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRPDZJS06L;502;monitor;;8;9;10;11
RNRJS400;RNRJS400;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRJS400;502;monitor;;8;9;10;11
RNRJS06L;RNRJS06L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRJS06L;502;monitor;;8;9;10;11
RNRJS12P;RNRJS12P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRJS12P;502;monitor;;8;9;10;11
RNRJS15P;RNRJS15P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRJS15P;502;monitor;;8;9;10;11
RNRSR02P;RNRSR02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRSR02P;502;monitor;;8;9;10;11
RNRSR467L;RNRSR467L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRSR467L;502;monitor;;8;9;10;11
RNRSR04P;RNRSR04P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRSR04P;502;monitor;;8;9;10;11
RNRMP02;RNRMP02;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRMP02;502;monitor;;8;9;10;11
RNSPK03L;RNSPK03L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNSPK03L;502;monitor;;8;9;10;11
RNLPK05L;RNLPK05L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNLPK05L;502;monitor;;8;9;10;11
RNRPK05L;RNRPK05L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRPK05L;502;monitor;;8;9;10;11
RNRPK10L;RNRPK10L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRPK10L;502;monitor;;8;9;10;11
RNRPK12L;RNRPK12L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRPK12L;502;monitor;;8;9;10;11
RNRJS10P;RNRJS10P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRNRJS10P;502;monitor;;8;9;10;11
