device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i)
RNKD.1B;RNKD.1B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRKD02L;192.168.88.189;502;monitor;;5;4
RNKD.2B;RNKD.2B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRKD04L;192.168.88.189;502;monitor;;5;4
RNKD.3B;RNKD.3B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRKD05L;192.168.88.189;502;monitor;;5;4
RNKD.1C;RNKD.1C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDKD01L;192.168.88.189;502;monitor;;5;4
RNKD.3C;RNKD.3C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRKD07L;192.168.88.189;502;monitor;;5;4
RNKD.3D;RNKD.3D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZKD02L;192.168.88.189;502;monitor;;5;4
RNKD.3F;RNKD.3F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDKD03L;192.168.88.189;502;monitor;;5;4
RNDH.2A;RNDH.2A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCTUDH01L;192.168.88.189;502;monitor;;5;4
RNDH.2B;RNDH.2B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZDH01L;192.168.88.189;502;monitor;;5;4
RNDH.1D;RNDH.1D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZDH02L;192.168.88.189;502;monitor;;5;4
RNDH.2D;RNDH.2D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRPDZDH02L;192.168.88.189;502;monitor;;5;4
RNDH.1F;RNDH.1F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCTUDH03L;192.168.88.189;502;monitor;;5;4
