device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
TUKD01L;TUKD01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUKD01L;502;0;1;2;3
TUKD02L;TUKD02L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUKD02L;502;0;1;2;3
TUDH01L;TUDH01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUDH01L;502;0;1;2;3
TUDH02L;TUDH02L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUDH02L;502;0;1;2;3
TUDH03L;TUDH03L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUDH03L;502;0;1;2;3
TUDH04L;TUDH04L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUDH04L;502;0;1;2;3
TUDH05L;TUDH05L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRTUDH05L;502;0;1;2;3
TUJS04P;TUJS04P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUJS04P;502;0;1;2;3
TUJS05P;TUJS05P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUJS05P;502;0;1;2;3
TUJS06P;TUJS06P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUJS06P;502;0;1;2;3
TUJS07P;TUJS07P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUJS07P;502;0;1;2;3
TUJS08P;TUJS08P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRTUJS08P;502;0;1;2;3
TUJS09P;TUJS09P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCRTUJS09P;502;0;1;2;3
TUJS01P;TUJS01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUJS01P;502;0;1;2;3
TUJS02L;TUJS02L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUJS02L;502;0;1;2;3
TUJS03P;TUJS03P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUJS03P;502;0;1;2;3
TUSR01P;TUSR01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUSR01P;502;0;1;2;3
TUSR02P;TUSR02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUSR02P;502;0;1;2;3
TUPK01L;TUPK01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUPK01L;502;0;1;2;3
TUPK02L;TUPK02L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCTUPK02L;502;0;1;2;3
