device_name;session_uid;PLC_name;det_name;det_order;host;url_publisher;port(i);read_permission;write_permission;num_polling_out_comm;time_polling_ms
_RNRJS17P;_RNRJS17P;PLCRNRJS17P;DET02-ADPJS18P;2;10.191.10.100;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS17P;_RNRJS17P;PLCRNRJS17P;DET03-ADPJS19L;3;10.191.10.100;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS17P;_RNRJS17P;PLCRNRJS17P;DET04-ADPJS19L;4;10.191.10.100;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RADPJS20P;_RADPJS20P;PLCRADPJS20P;DET01-ADPJS20P;1;10.191.10.103;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RADPJS20P;_RADPJS20P;PLCRADPJS20P;DET02-ADPJS20P;2;10.191.10.103;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RADPJS20P;_RADPJS20P;PLCRADPJS20P;DET03-ADPJS20P;3;10.191.10.103;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR01P;_RNRSR01P;PLCRNRSR01P;DET01-ADPSR01P;1;10.191.16.34;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR01P;_RNRSR01P;PLCRNRSR01P;DET02-ADPSR01P;2;10.191.16.34;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR01P;_RNRSR01P;PLCRNRSR01P;DET03-ADPSR01P;3;10.191.16.34;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR03P;_RNRSR03P;PLCRNRSR03P;DET01-ADPSR02P;1;10.191.17.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR03P;_RNRSR03P;PLCRNRSR03P;DET02-ADPSR02P;2;10.191.17.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR03P;_RNRSR03P;PLCRNRSR03P;DET03-ADPSR02P;3;10.191.17.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR03P;_RNRSR03P;PLCRNRSR03P;DET04-ADPSR03L;4;10.191.17.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR03P;_RNRSR03P;PLCRNRSR03P;DET05-ADPSR03L;5;10.191.17.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR03P;_RNRSR03P;PLCRNRSR03P;DET06-ADPSR03L;6;10.191.17.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR05P;_RNRSR05P;PLCRNRSR05P;DET01-ADPSR04L;1;10.191.17.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR05P;_RNRSR05P;PLCRNRSR05P;DET02-ADPSR04L;2;10.191.17.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR05P;_RNRSR05P;PLCRNRSR05P;DET03-ADPSR04L;3;10.191.17.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR01P;_SCSR01P;PLCSCSR01P;DET01-ADPSR05P;1;10.191.17.17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR01P;_SCSR01P;PLCSCSR01P;DET02-ADPSR05P;2;10.191.17.17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR01P;_SCSR01P;PLCSCSR01P;DET03-ADPSR06L;3;10.191.17.17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR01P;_SCSR01P;PLCSCSR01P;DET04-ADPSR06L;4;10.191.17.17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR06P;_RNRSR06P;PLCRNRSR06P;DET01-ADPSR07P;1;10.191.17.20;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR06P;_RNRSR06P;PLCRNRSR06P;DET02-ADPSR07P;2;10.191.17.20;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR07L;_RNRSR07L;PLCRNRSR07L;DET01-ADPSR08L;1;10.191.17.22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR07L;_RNRSR07L;PLCRNRSR07L;DET02-ADPSR08L;2;10.191.17.22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR08P;_RNRSR08P;PLCRNRSR08P;DET01-ADPSR09P;1;10.191.17.28;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR08P;_RNRSR08P;PLCRNRSR08P;DET02-ADPSR09P;2;10.191.17.28;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR08P;_RNRSR08P;PLCRNRSR08P;DET02-ADPSR10L;3;10.191.17.28;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRSR08P;_RNRSR08P;PLCRNRSR08P;DET03-ADPSR10L;4;10.191.17.28;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR02P;_SCSR02P;PLCSCSR02P;DET01-ADPSR11P;1;10.191.18.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR02P;_SCSR02P;PLCSCSR02P;DET02-ADPSR11P;2;10.191.18.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR03P;_SCSR03P;PLCSCSR03P;DET01-ADPSR12P;1;10.191.18.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCSR03P;_SCSR03P;PLCSCSR03P;DET02-ADPSR12P;2;10.191.18.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRMP01;_RNRMP02;PLCRNRMP01;DET01-ADPMP01P;1;10.191.20.43;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRMP01;_RNRMP02;PLCRNRMP01;DET02-ADPMP01P;2;10.191.20.43;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRMP01;_RNRMP02;PLCRNRMP01;DET03-ADPMP01SP;3;10.191.20.43;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRMP01;_RNRMP02;PLCRNRMP01;DET04-ADPMP01SP;4;10.191.20.43;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
