device_name;url_publisher
NRLKD03L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLKD01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLKD08L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLKD09L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLKD10L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLKD11L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS488L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS412P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS487L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS414P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS485L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS415P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS484L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS416P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS482L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS418P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS481L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS419P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS480L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS420P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS478L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS422P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS477L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS423P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS476L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS424P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS475L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS425P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS474L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS426P_2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS426P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS473L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS472L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS428P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS470L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRJS469L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS497L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS403P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS495L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS404P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS494L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS405P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS406P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS492L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS407P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS491L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS408P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS490L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSR431P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSR432P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSR467L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSR466L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSR434P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSR464L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSR463L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLMP01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK05L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK08P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK10L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK11P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK12L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK13L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK15P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK17P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK18L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK19P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLJS410P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSKD05LB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSKD07LB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSMP02PB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK03LB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK09LB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK14PB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK16PB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSKD05LM;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSKD07LM;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSMP02PM;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK03LM;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK09LM;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK14PM;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK16PM;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK16PB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPS400BPS;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK03LS;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRSPK09LS;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK02PA;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
NRLPK02PB;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
