device_name;session_uid;ip;url_publisher;port(i);time_polling_ms;num_polling_out_comm;readCommunity;writeCommunity;read_permission;write_permission
NRLKD03L;NRLKD03L;10.191.7.21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLKD01L;NRLKD01L;10.191.7.18;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLKD08L;NRLKD08L;10.191.7.33;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLKD09L;NRLKD09L;10.191.1.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLKD10L;NRLKD10L;10.191.1.9;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLKD11L;NRLKD11L;10.191.2.18;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS488L;NRJS488L;10.191.11.39;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS412P;NRJS412P;10.191.11.9;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS487L;NRJS487L;10.191.11.21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS414P;NRJS414P;10.191.11.38;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS485L;NRJS485L;10.191.12.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS415P;NRJS415P;10.191.12.22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS484L;NRJS484L;10.191.12.25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS416P;NRJS416P;10.191.13.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS482L;NRJS482L;10.191.13.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS418P;NRJS418P;10.191.13.10;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS481L;NRJS481L;10.191.14.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS419P;NRJS419P;10.191.14.18;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS480L;NRJS480L;10.191.14.20;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS420P;NRJS420P;10.191.14.22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS478L;NRJS478L;10.191.14.26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS422P;NRJS422P;10.191.14.28;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS477L;NRJS477L;10.191.15.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS423P;NRJS423P;10.191.15.23;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS476L;NRJS476L;10.191.15.25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS424P;NRJS424P;10.191.15.29;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS475L;NRJS475L;10.191.16.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS425P;NRJS425P;10.191.16.7;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS474L;NRJS474L;10.191.16.9;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS426P_2;NRJS426P_2;10.191.16.38;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS426P;NRJS426P;10.191.16.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS473L;NRJS473L;10.191.16.32;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS472L;NRJS472L;10.191.16.17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS428P;NRJS428P;10.191.16.26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS470L;NRJS470L;10.191.16.33;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRJS469L;NRJS469L;10.191.16.28;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS497L;NRLJS497L;10.191.10.40;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS403P;NRLJS403P;10.191.10.68;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS495L;NRLJS495L;10.191.8.18;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS404P;NRLJS404P;10.191.8.20;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS494L;NRLJS494L;10.191.8.29;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS405P;NRLJS405P;10.191.8.32;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS406P;NRLJS406P;10.191.9.5;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS492L;NRLJS492L;10.191.9.44;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS407P;NRLJS407P;10.191.10.5;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS491L;NRLJS491L;10.191.10.99;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS408P;NRLJS408P;10.191.10.13;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS490L;NRLJS490L;10.191.10.17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR431P;NRSR431P;10.191.16.35;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR432P;NRSR432P;10.191.17.7;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR467L;NRSR467L;10.191.17.9;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR466L;NRSR466L;10.191.17.16;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR434P;NRSR434P;10.191.17.21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR464L;NRSR464L;10.191.17.23;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR463L;NRSR463L;10.191.17.29;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;publiNRSPK09LBc;private;monitor;
NRLMP01P;NRLMP01P;10.191.20.44;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK05L;NRLPK05L;10.191.19.9;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK08P;NRLPK08P;10.191.19.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK10L;NRLPK10L;10.191.19.23;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK11P;NRLPK11P;10.191.19.25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK12L;NRLPK12L;10.191.19.27;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK13L;NRLPK13L;10.191.20.22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK15P;NRLPK15P;10.191.20.26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK17P;NRLPK17P;10.191.20.36;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK18L;NRLPK18L;10.191.20.38;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK19P;NRLPK19P;10.191.20.40;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS410P;NRLJS410P;10.191.10.101;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSKD05LB;NRSKD05LB;10.191.7.24;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSKD07LB;NRSKD07LB;10.191.7.31;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS488LB;PSJS488LB;10.191.11.7;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS489LB;PSJS489LB;10.191.11.35;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
