device_name;url_publisher;source_name;host;port(i);offset_red_order(i);offset_amber_order(i);offset_green_order(i)
SMF-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.201;5040;530;531;532
SMF-1-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.201;5050;530;531;532
SMF-1-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.201;5080;530;531;532
SMF-1-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.201;5130;530;531;532
SMF-1-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.201;5140;530;531;532
SMF-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.201;5180;530;531;532
SMF-2-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.201;5190;530;531;532
SMF-2-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.201;5210;530;531;532
SMF-2-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.201;5250;530;531;532
SMF-2-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.201;5260;530;531;532
SMF-1-04-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;192.168.88.201;5320;530;531;532
SMF-2-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;192.168.88.201;5340;530;531;532
SMF-1-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-01-CZ;192.168.88.201;5350;530;531;532
SMF-2-04-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CZ;192.168.88.201;5360;530;531;532
SMF-1-01-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;192.168.88.201;5300;512;513;514
SMF-1-01-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;192.168.88.201;5300;515;516;517
SMF-1-01-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;192.168.88.201;5300;518;519;520
SMF-1-02-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;192.168.88.201;5300;521;522;523
SMF-1-02-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;192.168.88.201;5300;524;525;526
SMF-1-02-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-CA;192.168.88.201;5300;527;528;529
