device_name;url_publisher;source_name;host;port(i);offset_avg_temperature(i);offset_fiber_fault(i);bit_fiber_fault(i);offset_alarm_zone(i);bit_alarm_zone(i)
ZI-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;1;40;0;80;0
ZI-1-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;2;41;0;81;0
ZI-1-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;3;42;0;82;0
ZI-1-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;4;43;0;83;0
ZI-1-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;5;44;0;84;0
ZI-1-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;6;45;0;85;0
ZI-1-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;7;46;0;86;0
ZI-1-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;8;47;0;87;0
ZI-1-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;9;48;0;88;0
ZI-1-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;10;49;0;89;0
ZI-1-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;11;50;0;90;0
ZI-1-12-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;12;51;0;91;0
ZI-1-13-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;13;52;0;92;0
ZI-1-14-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;14;53;0;93;0
ZI-1-15-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;15;54;0;94;0
ZI-1-16-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;16;55;0;95;0
ZI-1-17-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;17;56;0;96;0
ZI-1-18-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;18;57;0;97;0
ZI-1-19-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP1;192.168.88.201;6010;19;58;0;98;0
ZI-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;192.168.88.201;6020;1;40;0;80;0
ZI-2-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;192.168.88.201;6020;2;41;0;81;0
ZI-2-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;192.168.88.201;6020;3;42;0;82;0
ZI-2-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;CEN-LIST-DP2;192.168.88.201;6020;4;43;0;83;0
