device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-Q27-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;214
INT-K02-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;216
INT-MANI-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;215
INT-CREP-IZQ-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;200
INT-NOC-IZQ-1-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;201
INT-NOC-IZQ-2-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;202
INT-REF-IZQ-1-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;203
INT-REF-IZQ-2-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;204
INT-REF-IZQ-3-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;205
INT-CREP-DER-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;206
INT-REF-DER-1-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;207
INT-REF-DER-2-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;208
INT-REF-DER-3-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;209
INT-EXT-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;210
INT-Q26-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;211
INT-K01-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;213
