device_name;url_publisher;source_name;host;port(i);offset_cross_state(i);offset_arrow_state(i);offset_cross_order(i);offset_arrow_order(i)
AF-2-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.201;5180;0;1;512;513
AF-2-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.201;5180;2;3;514;515
AF-2-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.201;5180;4;5;516;517
AF-2-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.201;5190;0;1;512;513
AF-2-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.201;5190;2;3;514;515
AF-2-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.201;5190;4;5;516;517
AF-2-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.201;5210;0;1;512;513
AF-2-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.201;5210;2;3;514;515
AF-2-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.201;5210;4;5;516;517
AF-2-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.201;5250;0;1;512;513
AF-2-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.201;5250;2;3;514;515
AF-2-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.201;5250;4;5;516;517
AF-2-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.201;5260;0;1;512;513
AF-2-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.201;5260;2;3;514;515
AF-2-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.201;5260;4;5;516;517
AF-1-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.201;5040;0;1;512;513
AF-1-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.201;5040;2;3;514;515
AF-1-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.201;5040;4;5;516;517
AF-1-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.201;5050;0;1;512;513
AF-1-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.201;5050;2;3;514;515
AF-1-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.201;5050;4;5;516;517
AF-1-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.201;5080;0;1;512;513
AF-1-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.201;5080;2;3;514;515
AF-1-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.201;5080;4;5;516;517
AF-1-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.201;5130;0;1;512;513
AF-1-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.201;5130;2;3;514;515
AF-1-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.201;5130;4;5;516;517
AF-1-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.201;5140;0;1;512;513
AF-1-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.201;5140;2;3;514;515
AF-1-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.201;5140;4;5;516;517
AF-1-01-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;192.168.88.201;5320;0;1;512;513
AF-1-01-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;192.168.88.201;5320;2;3;514;515
AF-1-01-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;192.168.88.201;5320;4;5;516;517
AF-2-01-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;192.168.88.201;5340;0;1;512;513
AF-2-01-CA-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;192.168.88.201;5340;2;3;514;515
AF-2-01-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;192.168.88.201;5340;4;5;516;517
