device_name;url_publisher;source_name;host;port(i);offset_bit_A_state(i);offset_bit_B_state(i);offset_bit_C_state(i);offset_bit_D_state(i);offset_bit_A_order(i);offset_bit_B_order(i);offset_bit_C_order(i);offset_bit_D_order(i)
SV-1-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.204;507;6;7;8;9;518;519;520;521
SV-1-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.204;507;10;11;12;13;522;523;524;525
SV-1-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.204;507;14;15;16;17;526;527;528;529
SV-1-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.204;508;6;7;8;9;518;519;520;521
SV-1-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.204;508;10;11;12;13;522;523;524;525
SV-1-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.204;508;14;15;16;17;526;527;528;529
SV-1-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.204;509;6;7;8;9;518;519;520;521
SV-1-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.204;509;10;11;12;13;522;523;524;525
SV-1-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.204;509;14;15;16;17;526;527;528;529
SV-1-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.204;510;6;7;8;9;518;519;520;521
SV-1-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.204;510;10;11;12;13;522;523;524;525
SV-1-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.204;510;14;15;16;17;526;527;528;529
SV-1-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.204;511;6;7;8;9;518;519;520;521
SV-1-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.204;511;10;11;12;13;522;523;524;525
SV-1-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.204;511;14;15;16;17;526;527;528;529
SV-2-01-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.204;502;6;7;8;9;518;519;520;521
SV-2-01-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.204;502;10;11;12;13;522;523;524;525
SV-2-01-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.204;502;14;15;16;17;526;527;528;529
SV-2-02-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.204;503;6;7;8;9;518;519;520;521
SV-2-02-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.204;503;10;11;12;13;522;523;524;525
SV-2-02-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.204;503;14;15;16;17;526;527;528;529
SV-2-03-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.204;504;6;7;8;9;518;519;520;521
SV-2-03-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.204;504;10;11;12;13;522;523;524;525
SV-2-03-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.204;504;14;15;16;17;526;527;528;529
SV-2-04-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.204;505;6;7;8;9;518;519;520;521
SV-2-04-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.204;505;10;11;12;13;522;523;524;525
SV-2-04-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.204;505;14;15;16;17;526;527;528;529
SV-2-05-DP-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.204;506;6;7;8;9;518;519;520;521
SV-2-05-DP-C;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.204;506;10;11;12;13;522;523;524;525
SV-2-05-DP-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.204;506;14;15;16;17;526;527;528;529
