device_name;url_publisher;source_name;host;port(i);offset_state(i);state_type
CONT-NOC-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;570;COIL_STATUS
CONT-CREP-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;571;COIL_STATUS
CONT-EXT-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;572;COIL_STATUS
CONT-REF-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;573;COIL_STATUS
CONT-SOL-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;565;COIL_STATUS
CONT-NUB-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;566;COIL_STATUS
CONT-NOC-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;567;COIL_STATUS
CONT-CREP-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;568;COIL_STATUS
CONT-EXT-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;569;COIL_STATUS
CONT-SOL-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;583;COIL_STATUS
CONT-NUB-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;584;COIL_STATUS
CONT-NOC-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;585;COIL_STATUS
CONT-CREP-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;586;COIL_STATUS
CONT-EXT-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;587;COIL_STATUS
CONT-REF-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;579;COIL_STATUS
CONT-NOC-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;580;COIL_STATUS
CONT-CREP-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;581;COIL_STATUS
